Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
7130016980,Lonkey Dishwashing Liquid Aloe Vera (1.8kg),10.00,30k+,Sun Jiang Official Store,14%,RM1.40,https://shopee.com.my/product/240248264/7130016980,https://s.shopee.com.my/9V0tbHpaaY
29913833357,TYESO Solo Bottle Stainless Steel Temperature Retention Leak-proof (500ml/710ml) TS-8755C/8756C,40.76,80k+,Tyeso Official Malaysia,10%,RM4.08,https://shopee.com.my/product/1041222393/29913833357,https://s.shopee.com.my/9KhTOyqDvX
19391785417,Dressing Table with LED Mirror Meja Solek With Drawer Storage Desk Meja Makeup Up Table Cosmetic Table梳妝臺,59.89,6k+,Nearra.my,6.5%,RM3.89,https://shopee.com.my/product/1010791816/19391785417,https://s.shopee.com.my/AUtQn7lmYm
21694122400,SUS304 Stainless steel Bidet spray set Two way faucet with sprayer Bathroom faucet Toilet hose Paip toilet pipe water tap,11.00,10k+,YH Stores,14%,RM1.54,https://shopee.com.my/product/1090679029/21694122400,https://s.shopee.com.my/AKa0aomPtl
23787885538,Livingmaster Rotating Lazy Spin Mop Magic Floor Cleaning Mop With Bucket Smart Rotating Mop Set Household Mop,22.90,20k+,LivingMaster,10%,RM2.29,https://shopee.com.my/product/62691960/23787885538,https://s.shopee.com.my/AAGaOVn3Ek
27524645613,Desktop Snack Rack Kitchen Countertop Storage Rack Wash Basin Bathroom Sink Cosmetics Jewelry Tea Set Organizer bakul rattan,8.91,30,YUNJU.HOME,13%,RM1.16,https://shopee.com.my/product/1380783660/27524645613,https://s.shopee.com.my/9zxACCngZj
52302562342,OKDO Biscotti Ergonomic Computer Chair Kerusi Bilik Tidur Home Girl Dressing Office Gaming Chair,190.00,218,OKDO Studio,16%,RM30.40,https://shopee.com.my/product/1654441939/52302562342,https://s.shopee.com.my/8V8MPRtOcS
26277878770,900ML Cute Thermos Bottle Botol Air Termos Kartun Comel Stainless Steel Vacuum Flask Penebat Panas Sejuk,25.58,10k+,CZSY2.my,15%,RM3.84,https://shopee.com.my/product/1451909974/26277878770,https://s.shopee.com.my/8KowD8u1xR
13921691796,𝗦𝗜𝗠𝗣𝗟𝗘 SUPER ABSORBENT Soft Microfiber Towel Cloth For Kitchen Dish Wash Cleaning Table Car Wash / Kain Lap Dapur,1.90,1k+,JKC COLLECTIBLES ,31%,RM0.59,https://shopee.com.my/product/544562995/13921691796,https://s.shopee.com.my/8AVW0pufIQ
12521014912,Dynzo Food Container Lunch Box Stainless Steel / Tiffin Mangkuk Tingkat,5.30,20k+,DYSK Home Trading,12%,RM0.64,https://shopee.com.my/product/475286451/12521014912,https://s.shopee.com.my/80C5oWvIdP
52712398744,【REECHO OUTDOOR】Modern Curved Sofa Malaysia | L Shape Living Room Furniture | Comfortable Fabric Couch Minimalist Design | Sofa Ruang Tamu Moden & Selesa | Premium Bouclé Sofa,1.6k,1,REECHO OUTDOOR.my,16%,RM255.84,https://shopee.com.my/product/923897028/52712398744,https://s.shopee.com.my/9AO3CfqrGe
26718154316,Bantal tidur Hotel Pillow Bantal leyna Comfortable Sleeping bantal peluk dewasa Bantal Hotel Viral Bantal Tidur,17.80,1k+,Minimalism Home,6%,RM1.07,https://shopee.com.my/product/392433538/26718154316,https://s.shopee.com.my/904d0MrUbd
4148339423,Spin Mop with Stainless Steel Basket & Wheels Multiple Color Choice Automatic Spin Mop Hand Free Household Mop,17.30,90k+,LivingMaster,10%,RM1.73,https://shopee.com.my/product/62691960/4148339423,https://s.shopee.com.my/8plCo3s7wc
43578452293,Dekorasi Islamik Akrilik Hiasan dinding islam Islamic Wall Decor Alhamdulillah Bismillah Eid Mubarak,19.90,656,UmakeDesign,10%,RM1.99,https://shopee.com.my/product/17851053/43578452293,https://s.shopee.com.my/8fRmbkslHb
42258573311,Auremi 39-80cm Lowest Price Gap Storage Organizer Magnetic Door Foldable Storage Cabinet Double Doors Storage Box,38.00,2k+,Auremi Living,21%,RM7.98,https://shopee.com.my/product/1524780721/42258573311,https://s.shopee.com.my/7AcyozyTKK
25926574615,"LONTAI Trolley Shopping Cart Lightweight, Easy To Carry, Lockable Direction Changeable Wheels Large Space Trolley",58.50,10k+,LONTAI Life Home Furnishings,11%,RM6.44,https://shopee.com.my/product/1242435695/25926574615,https://s.shopee.com.my/70JYcgz6fJ
15236925836,Sunlight Dishwash Liquid Lime/Lemon/Aloe Vera/Lemon & Mint/Grapefruit & Rose Hip/Matcha Green Tea & Lime 800ml 700ml,6.59,5k+,Ipoh Guy Trading,6%,RM0.40,https://shopee.com.my/product/225549885/15236925836,https://s.shopee.com.my/6q08QNzk0I
5779792243,Hangers Pant Skirt Plastic Metal Clips Clothes Trousers Hanger Seluar Hanger Bra Strong Double Layer Penyangkut Seluar,1.08,200k+,DistriFactory,6%,RM0.06,https://shopee.com.my/product/327541145/5779792243,https://s.shopee.com.my/6fgiE50NLH
57606354600,TYESO Floral In-Bloom Roamer Tumbler Stainless Steel Dual Sip Temperature Retention (900ml) TS-01024,65.01,10k+,Tyeso Official Malaysia,10%,RM6.50,https://shopee.com.my/product/1041222393/57606354600,https://s.shopee.com.my/7psfcDvvyW
26056855799,OOKAS Waterproof Canvas Tarpaulin thickening Sheet Canopy Camping Kanvas Khemah Pasar Malam Penutup 防水防雨篷布帆布,2.85,20k+,OOKAS Living Home,10%,RM0.29,https://shopee.com.my/product/323536941/26056855799,https://s.shopee.com.my/7fZFPuwZJV
27910428822,Botare AIR-cushion Cheerful Tissue hanging tissue tisu gantung tisu muka face tissue 1280 sheets 175*175mm,4.50,70k+,Luxurica wholesale mall,5%,RM0.23,https://shopee.com.my/product/238638062/27910428822,https://s.shopee.com.my/7VFpDbxCeU
4009969652,100% Cotton Blanket: Selimut 100% Natural Cotton (60inch x 80inches) - Selimut Viral Blanket Hospital- Saiz Single,15.00,10k+,cottonhome,11%,RM1.65,https://shopee.com.my/product/33406612/4009969652,https://s.shopee.com.my/7KwP1IxpzT
2631696693,CANMEIJIA 3/4/6pcs LED Track Light Set 12/20/30/40/50W COB Tricolor Memory Function 220V Spotlight Lampu laluan Lampu trek Free Rails Home Living Room Bedroom Store Lighting,49.90,20k+,CANMEIJIA Official Store,6%,RM2.99,https://shopee.com.my/product/154124713/2631696693,https://s.shopee.com.my/5q7bEY3Y2C
24267556437,RAYA Buffet Tray 5 PCS in 1SET Stainless Steel 304/ SERVING TRAY /FOOD PAN KENDURI SET CATERING 34*28*8.5cm MALAYSIA,8.00,5k+,EU GROUP,10%,RM0.80,https://shopee.com.my/product/85452210/24267556437,https://s.shopee.com.my/5foB2F4BNB
1601343726,Softlan Anti Wrinkles Lavender Fresh (Purple) Fabric Softener 5L,22.74,8k+,Colgate Official Store,6%,RM1.36,https://shopee.com.my/product/94327525/1601343726,https://s.shopee.com.my/5VUkpw4oiA
15789330903,【LENOBLE BRAND】🔥 418 Office Chair Gaming Chair Ergonomic Chair Computer Chair Kerusi Gaming - 3 Years Official Warranty,136.00,20k+,LENOBLE Official Store,10%,RM13.60,https://shopee.com.my/product/463951581/15789330903,https://s.shopee.com.my/5LBKdd5S39
21376751079,Solar Wall Light 6 LED Sensor Lampu Solar Outdoor Waterproof Lighting Bright/Dim Light Two Mode Solar Wall Lamp,16.88,10k+,CCmall123,10%,RM1.69,https://shopee.com.my/product/792314755/21376751079,https://s.shopee.com.my/6VNI1m10gO
25196582086,Oil Splash Proof Mesh Cover Black Grease Splatter Screen Frying Pan Lid Home Spill Proof Mesh Cover Splash Guard Splatter Screen,6.70,10k+,PJYJ01.MY,11%,RM0.74,https://shopee.com.my/product/1514829155/25196582086,https://s.shopee.com.my/6L3rpT1e1N
28985778170,Mr Power Spray Anai-Anai Berkesan Membasmi Anai-Anai,9.80,7k+,Mr Power HQ Malaysia,21%,RM2.06,https://shopee.com.my/product/600110454/28985778170,https://s.shopee.com.my/6AkRdA2HMM
5214383037,DORAMILL Curtain Langsir Semi Blackout 2in1 Hook & Rod Langsir Pintu Tingkap LANGSIR BATIK RAYA RCJ,3.07,200k+,Dora Mill Official Store,11%,RM0.34,https://shopee.com.my/product/35344153/5214383037,https://s.shopee.com.my/60R1Qr2uhL
27287194393,Big Size Hard Plastic Shoe Box Organizer Shoes Rack With Cover Foldable Cabinet Storage Box,3.07,30k+,Mocha stationery ,9%,RM0.28,https://shopee.com.my/product/1208378505/27287194393,https://s.shopee.com.my/4VcDe68ck4
22669401766,Kids Lunch Box with Personalised Name Bento Box Bekas Makanan Bekal Makanan Food Container Storage,29.90,778,omgstore.os,16%,RM4.78,https://shopee.com.my/product/23703154/22669401766,https://s.shopee.com.my/4LInRn9G53
29851822842,GEESO Electric Fly Repellent Fan Leaf Mosquito Repellent Table Food Protector Automatic Fly Trap Pest Bug Repeller Perangkap Lalat 电动驱蝇器 驱蚊器,12.99,10k+,geeso.my,10%,RM1.30,https://shopee.com.my/product/229907985/29851822842,https://s.shopee.com.my/4AzNFU9tQ2
55105903014,ListonX Fluffy Series Thermal Water Bottle 750ml | SUS316 Stainless Steel Inner Tank | Advanced Vacuum Insulation,20.99,3k+,ListonX Home,11%,RM2.31,https://shopee.com.my/product/967493321/55105903014,https://s.shopee.com.my/40fx3BAWl1
42306228158,Selimpang Merdeka Sash Sticker Kanak-Kanak & Dewasa Bendera Malaysia Aksesori Perbarisan Sekolah,15.89,841,hannalolaazlan,9%,RM1.43,https://shopee.com.my/product/1339944871/42306228158,https://s.shopee.com.my/5AruRK65OG
57610557155,MODOFO 7 Pcs Korean Pink Ceramic kuali non stick  pan corelle cookware Wood Handle Gas Induction Easy Clean Kitchenware,39.99,5,MODOFO Lifestyle,8%,RM3.20,https://shopee.com.my/product/1526374456/57610557155,https://s.shopee.com.my/50YUF16ijF
286038152,Easy Spray Mop with Microfiber Pad Mop mop Lantai NEW VERSION,13.00,200k+,EDA Mall,11%,RM1.43,https://shopee.com.my/product/8431741/286038152,https://s.shopee.com.my/4qF42i7M4E
5942961622,⚡️NETHOME⚡️EDDY Sofa Bed 2 / 3 / 4 Seater Foldable Sofa Bed Design/Sofa/Sofabed Sofa / 沙发 / 3 seater,189.25,20k+,NetHome Design ,10%,RM18.93,https://shopee.com.my/product/285398773/5942961622,https://s.shopee.com.my/4fvdqP7zPD
27059776152,【Lifetime Warranty】Shoes Cabinet 6/7/8 Layer 40+ Pairs Wooden Shoe Rack Shoes Storage Bamboo Shoe Rack 鞋柜,92.02,3k+,Mr.Bamboos,15%,RM13.80,https://shopee.com.my/product/1338795940/27059776152,https://s.shopee.com.my/3B6q3eDhRw
43428175164,Propappa - 3IN1 Sets Stainless Steel Round Food Storage Box Food Container (700ml) | 700ml Bekas Simpanan Makanan,18.00,2k+,Propappa Official Store,8%,RM1.44,https://shopee.com.my/product/207629962/43428175164,https://s.shopee.com.my/30nPrLEKmv
25951276737,sunlight cuci pinggan/piring pouch ekonomis/jimat 90ml,1.00,300k+,RAJA JAJANAN INDONESIA,4%,RM0.04,https://shopee.com.my/product/120500751/25951276737,https://s.shopee.com.my/2qTzf2Ey7u
20590626761,（Siap Pasang) Mesra - Wardrobe Sliding Door Anti-Jump Cabinet Clothes 8ft x 8ft / wardrobe / fast shippping /ready stock,945.00,3k+,Mesra ,6%,RM56.70,https://shopee.com.my/product/794729389/20590626761,https://s.shopee.com.my/2gAZSjFbSt
