Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
24944292815,DESSINI ITALY Silicone Utensil Cutlery Turner Spoon Spaghetti Server Ladle Spatula Knife Scissor Kitchenware (19 Pcs),49.80,3k+,DESSINI Official Store,7%,RM3.49,https://shopee.com.my/product/370480745/24944292815,https://s.shopee.com.my/3g36efIEzG
3871853536,KUN AirySoft plain Color-Modern Urban 01 Pillowcase/ Bolster case/ Fitted Bedsheet/ Quilt Cover ALACART ITEM/ Single,18.90,300k+,Kun Official,10%,RM1.89,https://shopee.com.my/product/26912497/3871853536,https://s.shopee.com.my/3qMWqyHbeJ
24622098087,TYESO TS-8866 / TS-8868 Vacuum Insulated Tumbler 900ML/1200ML With Handle – Hot & Cold Stainless Steel Thermal Cup + Free Straw & Cleaning Brush,59.90,5k+,Tyeso Official Store ,16.5%,RM9.88,https://shopee.com.my/product/1050543162/24622098087,https://s.shopee.com.my/1LfBsNR7iq
3643564730,Cleaning🧽 Plastik Beg Automatic Closing Tie On Drawstring Garbage Bag Bags With Rope Easy Pull Portable Dustbin 抽绳垃圾袋,1.20,200k+,ATP Professional Business Solution,11%,RM0.13,https://shopee.com.my/product/72251243/3643564730,https://s.shopee.com.my/1Vyc4gQUNt
27129023395,Chest Drawer 4 Laci dengan Cermin Rak Solek Makeup Organizer Laci Kayu Storage Cabinet - KENZZO,129.00,915,KENZZO,15%,RM19.35,https://shopee.com.my/product/52604623/27129023395,https://s.shopee.com.my/1gI2GzPr2w
3175309067,Waterproof Single Queen King Size Protection Sponge Tatami Mattress protector Thick Mattress Tilam Topper mattress D&C,59.90,1k+,C&D.Home,6%,RM3.59,https://shopee.com.my/product/348902827/3175309067,https://s.shopee.com.my/1qbSTIPDhz
40813919338,KADA Tumbler tahan sejuk 750ml(25oz) with Handle 316 Stainless Steel Water Bottle for outdoor travel chinese new year gift,32.90,6k+,kadatumbler.my,11%,RM3.62,https://shopee.com.my/product/1568722416/40813919338,https://s.shopee.com.my/20usfbOaN2
42955005784,Case Valker Portable Travel Lint Roller Barang Perjalanan,11.25,946,Case Valker Official Store,11%,RM1.24,https://shopee.com.my/product/26395043/42955005784,https://s.shopee.com.my/2BEIruNx25
29276686878,Punch Free Wall Mounted kitchen Multifunctional Storage Rack Ginger and Garlic Storage Box Seasoning Storage Rack,25.17,37,homeoy.my,12%,RM3.02,https://shopee.com.my/product/431477196/29276686878,https://s.shopee.com.my/2LXj4DNJh8
5784269729,GLOREX(Dia50/60/70cm)High Quality Cheap/Murah Cermin Bulat/Round Kayu/Wood Frame Toilet/Bilik Mandi Mirror FAST DELIVERY,89.91,7k+,GLOREX LIVING CONCEPT,11%,RM9.89,https://shopee.com.my/product/329244622/5784269729,https://s.shopee.com.my/2Vr9GWMgMB
54556524484,Rice Bowl With Spoon 2026 Fruit Ceramic Bowl Creative Yogurt Bowl Kitchen Dinnerware Plate Gift,3.99,44,NutriTail Brand Store,16%,RM0.64,https://shopee.com.my/product/818776907/54556524484,https://s.shopee.com.my/19oHvWCQi
5637581258,👍rawatan pembersih paip pembersih rumah tangga yang berkesan penyumbatan paip sinki tandas sinki tersumbat,1.59,600k+,UGGSS Automotive Mall,10%,RM0.16,https://shopee.com.my/product/145916968/5637581258,https://s.shopee.com.my/BTEUEVZ5l
23281944632,Magnetic Remote Control Holder Wall Mount Hook Self-adhesive / Pemegang kawalan jauh magnetik,1.49,7k+,Online Warehouze,16%,RM0.24,https://shopee.com.my/product/213209549/23281944632,https://s.shopee.com.my/LmegXUvko
