Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
24101317984,[80Pcs]Kitchen Wipes Blue Grey 80 Sheets Disposable Degreasing Disposable Wipes Tisu Dapur Pakai Buang Nyahyah Guna,18.90,10,Simsue Official Store,36%,RM6.80,https://shopee.com.my/product/1103203328/24101317984,https://s.shopee.com.my/7KwP4E3R9I
13519106944,【𝗦𝗧𝗔𝗜𝗡𝗟𝗘𝗦𝗦 𝗦𝗧𝗘𝗘𝗟】3 Tier Multi-functional Metal Trolley Storage Rack with Handle / 3 TINGKAT RAK Penyimpanan Troli,49.90,4k+,JKC COLLECTIBLES ,31%,RM15.47,https://shopee.com.my/product/544562995/13519106944,https://s.shopee.com.my/7VFpGX2noL
3097813050,Frame dekorasi untuk dinding rumah besar 32x32inch,78.99,1k+,Hamkha Calligraphy,20%,RM15.80,https://shopee.com.my/product/37373819/3097813050,https://s.shopee.com.my/7fZFSq2ATO
56660077222,Display Cabinet Almari Kaca Display 6 Layers Transparent Glass Acrylic Showcase 展示柜,600.00,0,Bamboo Breeze,81%,RM486.00,https://shopee.com.my/product/1685868638/56660077222,https://s.shopee.com.my/7psff91X8R
24413808705,Cheerful tissue Ribbon tissue botare Facial Tissue Paper Wall Hanging Tisu gantung toilet tissue kitchen tisu dapur 纸巾,2.50,30k+,Murah Stock Shop,5%,RM0.13,https://shopee.com.my/product/1081253539/24413808705,https://s.shopee.com.my/5LBKgYB3Cy
15948821520,"DAGMARA DIW01-800 Electric Cordless Impact Wrench Heavy Duty Brushless High Power Drive Ratchet Socket 800Nm (1/2"")",229.00,10k+,Dagmara PowerTools Malaysia,11%,RM25.19,https://shopee.com.my/product/118075860/15948821520,https://s.shopee.com.my/5VUksrAPs1
15166357729,Super Absorbent Diatom Mud Antiskid Kitchen Floor Mat Non-Slip Bathroom Mat Carpet 40*60cm 浴室吸水地垫,39.80,7k+,Carpets,51%,RM20.30,https://shopee.com.my/product/727718113/15166357729,https://s.shopee.com.my/5foB5A9mX4
47910499439,Bamboo Rak Dapur Kitchen Rack Spice Rack Wooden Dessert Dishes 厨房置物架 杯架 调味料置物架,27.50,26,Bamboo Breeze,1%,RM0.28,https://shopee.com.my/product/1685868638/47910499439,https://s.shopee.com.my/5q7bHT99C7
24602299725,(4 Packs) 80pcs Large Kitchen Cleaning Wet Wipes Lap Basah Pembersihan Dapur 厨房清洁湿巾,2.80,1k+,lovelyhome4u,31%,RM0.87,https://shopee.com.my/product/1095998646/24602299725,https://s.shopee.com.my/60R1Tm8VrA
23042549540,TANZU 3 In 1 Electric High Torque Brushless Cordless Impact Wrench Driver 330/600/800NM（6.0Ah）,132.97,10k+,Tanzu Powertools,6%,RM7.98,https://shopee.com.my/product/968548620/23042549540,https://s.shopee.com.my/6AkRg57sWD
42479172319,TYESO Pink Floral Insulated Tumbler Stainless Steel Vacuum Cup with Straw 24H Cold 12H Hot,45.90,7k+,Tyeso Official Store ,11%,RM5.05,https://shopee.com.my/product/1050543162/42479172319,https://s.shopee.com.my/6L3rsO7FBG
20616165427,Mesin Rumput Bateri 2600W Cordless Grass Cutter Electric Grass Trimmer Lawn Mower Cordless Lithium Battery 无刷割草机,154.00,8k+,SANTINO STORE,9%,RM13.86,https://shopee.com.my/product/695919493/20616165427,https://s.shopee.com.my/6VNI4h6bqJ
22177205873,80pcs Kitchen Cleaning Wipes Strong Decontamination Kitchen Wipes Degreasing Lap Pembersih Dapur,3.35,3k+,C'Y M'E'ET 2U,11%,RM0.37,https://shopee.com.my/product/461988200/22177205873,https://s.shopee.com.my/4AzNIPFUZs
51202406200,"DAGMARA Heavy-Duty 500Nm Cordless Impact Wrench Kit with LED Ring Light, Includes 1 Battery, Fast Charger & Box",189.00,4k+,Dagmara PowerTools Malaysia,11%,RM20.79,https://shopee.com.my/product/118075860/51202406200,https://s.shopee.com.my/40fx66G7ur
44027258116,Ins Cute Soft Cute Mushroom Tomato Cushion Bed Cushion Doll Pillow Lazy Living Room Sofa Pillow,60.72,4,Taimian Life,36%,RM21.86,https://shopee.com.my/product/1663544995/44027258116,https://s.shopee.com.my/4VcDh1EDty
26837325918,Super Mario Question Block Lamp Iconic Exclamation LED Mood Light & Night Lamp for Desk or Bedroom,31.08,2,Daily Crate,81%,RM25.17,https://shopee.com.my/product/1539473151/26837325918,https://s.shopee.com.my/4LInUiErEx
