Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
4065912524,Single & Double Pole Clothes Rack Strong Powder Coated Drying Rack Floor-standing Clothes Hanger Living Room Ready Stock,17.85,40k+,LivingMaster,10%,RM1.79,https://shopee.com.my/product/62691960/4065912524,https://s.shopee.com.my/1gI2JpkXEx
42510074784,82 PCS Universal Car Garage Repair Tools Socket Wrench Set With Case Spanner Wrenches,14.00,10k+,Ornn Forge,9%,RM1.26,https://shopee.com.my/product/1543448101/42510074784,https://s.shopee.com.my/2BEIukidE4
18783989700,(10pcs) SET HIASAN DEKO SEMARAK HARI MERDEKA - Bentuk Separa Bulat / Hiasan Sambutan / Dinding (12x6 inci / 30x18.5 cm),13.95,2k+,Empayar Banner,16%,RM2.23,https://shopee.com.my/product/60384153/18783989700,https://s.shopee.com.my/20usiRjGZ3
56459119749,【4-Step Installation】Shoes Cabinet With a Curtain Foldable Shoe Rack Bamboo Shoe Rack 折叠鞋架鞋柜,62.00,123,Bamboo Breeze,81%,RM50.22,https://shopee.com.my/product/1685868638/56459119749,https://s.shopee.com.my/2Vr9JMhMYA
2107463589,HOMEBY【GVW 9112】Foldable Mobility Stainless Steel Clothes Hanger / Clothing Drying Rack / Rak Penyidai Baju不锈钢晒衣架,74.38,60k+,Homeby & Co.,10%,RM7.44,https://shopee.com.my/product/129564722/2107463589,https://s.shopee.com.my/2LXj73hzt9
43118349964,6 in 1 Kitchen Drain Basket Set – Bakul Tirisan & Strainer Colander Multifungsi for Fruits Vegetables Washing & Draining,14.28,175,Corner Home & Living,21%,RM3.00,https://shopee.com.my/product/1548067716/43118349964,https://s.shopee.com.my/BTEX4qFHk
25806494205,TYESO Roam Tumbler Leak-proof Temperature Retention (600/750/900/1050/1200ml) TS-8826 - TS-8830,37.91,100k+,Tyeso Official Malaysia,10%,RM3.79,https://shopee.com.my/product/1041222393/25806494205,https://s.shopee.com.my/19oKlqscj
1690147284,Meja Makan 4 Kerusi / Dining Table Set with 4 Chairs | Meja Kayu Moden & Minimalis - Eames - KENZZO,225.99,5k+,KENZZO,15%,RM33.90,https://shopee.com.my/product/52604623/1690147284,https://s.shopee.com.my/W64vgoybq
42858943183,(Ready Stock)Bamboo Tissue 30packs one carton,11.98,10k+,MS MALL ,4%,RM0.48,https://shopee.com.my/product/48945678/42858943183,https://s.shopee.com.my/LmejNpbwp
29186820768,Shark Blanket Sleeping Bag Wearable Flannel Shark Costume Ultra-Soft Thermal Blanket Pajamas,66.06,3,Daily Crate,81%,RM53.51,https://shopee.com.my/product/1539473151/29186820768,https://s.shopee.com.my/qivKInhvw
25885270624,MeeGoo 6000W Car High Pressure Cleaner Water Jet Water Jet High Pressure 高压洗车机,159.90,4k+,MeeGoo Car,7%,RM11.19,https://shopee.com.my/product/1337454001/25885270624,https://s.shopee.com.my/gPV7zoLGv
45253799192,【Ready Stock】 3-Tier Shoe Rack for Home Entrance | Large Capaceity |3 层鞋架 | 家用门口收纳鞋柜 | 实木纹高颜值大容量,24.36,189,Bamboo Breeze,1%,RM0.24,https://shopee.com.my/product/1685868638/45253799192,https://s.shopee.com.my/1BLliumRG2
5605895177,🇲🇾Powerful Home Clean Pipeline Dredge Helper超强疏通剂Ubat Sinki Tersumbat/Pipe cleaner/sinki tersumbat/Cleaner,2.70,200k+,JOJO B/C Enterprise,17%,RM0.46,https://shopee.com.my/product/44678369/5605895177,https://s.shopee.com.my/112LWbn4b1
15322766571,JEETEE 9pcs Granite Cookware Set Non Stick Pan Set Kuali PFAS& PTFE& PFOA Free Suitable for All Stoves,199.00,2k+,JEETEE Malaysia Kitchenware,11%,RM21.89,https://shopee.com.my/product/487919729/15322766571,https://s.shopee.com.my/4AzNIQb1Ae
