Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
55503131801,(25PCS keatas RM1.15) DOORGIFT N.A Kokojar Coklat Gelap Leleh 29g Chococup Chocolate Balang 5 Cereal Goodies Choco Jar,1.90,200k+,N.A Chocojar,6%,RM0.11,https://shopee.com.my/product/32988111/55503131801,https://s.shopee.com.my/4LInVeVEST
26764022138,330ml ATP Glass Bottle Cawan Kaca Rabbit Vacuum Insulated Tumbler Coffee Travel Glass Mug Kids Student,3.10,100k+,ATP BOTTLES & CUPS,11%,RM0.34,https://shopee.com.my/product/1381554054/26764022138,https://s.shopee.com.my/4AzNJLVrnS
26276629490,(30 Pcs)Milk Storage Bag Breastmilk Storage Bag Double Ziplock Simpan Susu Breast Milk Storage Bag 母乳袋,2.83,70k+,luckystar7829,11%,RM0.31,https://shopee.com.my/product/442709000/26276629490,https://s.shopee.com.my/40fx72WV8R
8029073886,🔥CHEAPEST in SHOPEE🔥 Pizza Box / Food Box /Cake Box / Kotak Talam / Kotak Lapis / Donut Box / Bread Box / Cupcake Box,0.31,400k+,savcos.os,12%,RM0.04,https://shopee.com.my/product/278390326/8029073886,https://s.shopee.com.my/3qMWujX8TQ
13911719127,KEROPOK LEKOR ORI KUALA BESUT (RM1-1btg),1.00,500k+,KEROPOK CAP AYAM SERAMA SATU,6%,RM0.06,https://shopee.com.my/product/132296373/13911719127,https://s.shopee.com.my/3g36iQXloP
11175380753,Paper Bag Shopping Bag Gift Bag Retail Bag Colour Kraft Paper Bag Wedding Birthday Bag,0.30,2m+,ETER PACK RESOURCES,16%,RM0.05,https://shopee.com.my/product/65625987/11175380753,https://s.shopee.com.my/3VjgW7YP9O
12196552830,30 Pcs Breastmilk Storage Bag Double Lock 150ml/250ml bag susu breast milk storage bags BPA free,1.12,300k+,luckystar7829,11%,RM0.12,https://shopee.com.my/product/442709000/12196552830,https://s.shopee.com.my/3LQGJoZ2UN
1782830452,[Ready Stock] Eter Pack OPP Tape 48mm x 90 Yards Clear Brown Transparent Adhesive Tape Packaging Tape / Tape Coklat,0.95,1m+,ETER PACK RESOURCES,16%,RM0.15,https://shopee.com.my/product/65625987/1782830452,https://s.shopee.com.my/3B6q7VZfpM
22356922799,ELGINI E16191 Kemeja-T Kapas Kosong S-XXL | Plain Cotton Tee,16.90,300k+,ELGINI MALAYSIA,11%,RM1.86,https://shopee.com.my/product/343537397/22356922799,https://s.shopee.com.my/30nPvCaJAL
18248021673,Zip Lock Plastic Bag Extra Thick (0.08mm & 0.12mm) Self Seal Clear Transparent Zipper Bag Ziplock Packaging Plastik 自封袋,1.62,300k+,Famoustore Malaysia,10%,RM0.16,https://shopee.com.my/product/242935641/18248021673,https://s.shopee.com.my/2qTzitawVK
28722426275,"Disposable Syringe Picagari Luer Slip 1pc — 1/3/5/10/20/30ml cc, Industrial Use, Baking Use, Printer Refiller",0.24,60k+,Healthcare & Scientific Consumables,11%,RM0.03,https://shopee.com.my/product/912646018/28722426275,https://s.shopee.com.my/2gAZWabZqJ
25550929183,OPP Tape 48MM X 180Y CLEAR/BROWN/FRAGILE Cellotape Salotape Transparent Clear Brown,2.90,100k+,ETER PACK RESOURCES,16%,RM0.46,https://shopee.com.my/product/65625987/25550929183,https://s.shopee.com.my/2Vr9KHcDBI
41664982197,Pembaikan Zip Universal Replacement Metal Zipper Accessories Zipper Repairing Kits Tool-Free Detachable Zipper Head,0.80,20k+,ATP Professional Business Solution,11%,RM0.09,https://shopee.com.my/product/72251243/41664982197,https://s.shopee.com.my/2LXj7ycqWH
8658934747,Quality Singlet Bag Thin Handle Bag T-Shirt Bag Beg Plastik Nipis 9x11 / 10x13 / 12x16 / 16x19 / Eter Pack Beg Tangkai,1.10,200k+,ETER PACK RESOURCES,11%,RM0.12,https://shopee.com.my/product/65625987/8658934747,https://s.shopee.com.my/2BEIvfdTrG
27357218218,Pes Char Kuey Teow HERODAPO 60g,3.50,20k+,BQ FOOD ENTERPRISE,11%,RM0.39,https://shopee.com.my/product/64053420/27357218218,https://s.shopee.com.my/20usjMe7CF
1783124918,Ready Stock- Fragile Tape 50mic x 48mm x 50M / Color OPP Tape Red White Yellow Blue Packaging Sealing Tape / Eter Pack,1.30,700k+,ETER PACK RESOURCES,16%,RM0.21,https://shopee.com.my/product/65625987/1783124918,https://s.shopee.com.my/1qbSX3ekXE
24181364921,Farm Fresh Grow Powder 1-3 Years Old 800g x 9 Packs + [FREE]  Farm Fresh Grow Powder 1-3 Years Old 30g x 10 sachet,367.56,9k+,Farm Fresh Malaysia Official,8%,RM29.40,https://shopee.com.my/product/1009066826/24181364921,https://s.shopee.com.my/1gI2KkfNsD
54215142186,ℕ𝔼𝕋𝔽𝕃𝕀𝕏 𝔸ℂℂ𝕆𝕌ℕ𝕋 PC/SMART TV ONLY 1/3/6 MONTHS 4K ULTRA HD v11 SUBSCRIPTION ORIGINAL READ FIRST,13.40,30k+,Join_DigitalWorld,16%,RM2.14,https://shopee.com.my/product/976542660/54215142186,https://s.shopee.com.my/1Vyc8Rg1DC
48259981608,100 pcs Chenille Stems Wire Pipe Cleaners Children Educational Toys Creative Hobby Material Handmade DIY Craft Supplies,2.50,30k+,Paipai Chenille Stems,7%,RM0.18,https://shopee.com.my/product/1802200308/48259981608,https://s.shopee.com.my/1LfBw8geYB
