Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
28756570437,(MDA Approved) HCG Pregnancy Test Kit Test Pregnant Test Urine Pregnancy Test Ovulation Test Strip Ovulation Test Kit,0.08,200k+,Momo House,4%,RM0.00,https://shopee.com.my/product/12436984/28756570437,https://s.shopee.com.my/4fvduYdwp4
24194168557,"(KL/Perak) Free Design METAL Medal Both Side Sticker Medal Besi With Ribbon Alloy Gold,Silver,Bronze",0.60,80k+,BudgetHouse,6%,RM0.04,https://shopee.com.my/product/82177577/24194168557,https://s.shopee.com.my/4qF46rdJU7
29061749529,Non Stick Soup Pot Induction Stew Pan Induction Pot Non Stick Kaserola Gas Universal 26/28/30CM,14.49,10k+,YU_YU,4%,RM0.58,https://shopee.com.my/product/1242421617/29061749529,https://s.shopee.com.my/LmekauRcG
42579907704,Funny Farewell Card Goodbye Team Card | Kad Perpisahan Colleague Boss Teacher | Office Farewell Gift Card A7 /mini gift,0.80,10k+,Memoirs Gift,6%,RM0.05,https://shopee.com.my/product/323260839/42579907704,https://s.shopee.com.my/W64wttoHJ
14636554995,Non Woven Bag Door Gift Goodies Bag Beg Kain Cenderahati Beg Hadiah Majlis Kahwin Bag Murah,0.48,400k+,Epanda Packaging Industries,6%,RM0.03,https://shopee.com.my/product/251466651/14636554995,https://s.shopee.com.my/19oLyviIE
56455768014,READY STOCK Door gift /Hantaran Kahwin/Tunang/Hari Jadi - Tuala Beruang Comel  bear kain,0.38,30k+,UNIQ TRADING,4%,RM0.02,https://shopee.com.my/product/330471287/56455768014,https://s.shopee.com.my/BTEYHv4xH
23159884830,[LIVE EXTRA]Glad2Glow Milk Amino Acid Gentle Facial Cleanser Hydrating Oil Control Glowing Face Wash Pencuci Muka Clean,15.50,200k+,Glad2Glow Official Store,4%,RM0.62,https://shopee.com.my/product/822280677/23159884830,https://s.shopee.com.my/112LXoruGS
8618019588,"A5 Colour Photostat Printing, Copy Warna A5 Paper High Quality Budget Price, Ebook, Noted,",0.20,400k+,Mr.Cetak - Print & Photostat,10%,RM0.02,https://shopee.com.my/product/378304235/8618019588,https://s.shopee.com.my/1BLlk7rGvV
15293393529,(MDA REG) NASAL OXYGEN CANNULA CONNECX RESPINECX –2M TUBING  1PCS/PACK,1.85,60k+,gvon WHA,6%,RM0.11,https://shopee.com.my/product/683476419/15293393529,https://s.shopee.com.my/gPV9CtAwQ
26404762242,🔥MALAYSIA CHEAPEST🔥 Anti Slip Splicing PVC Bathroom Toilet Kitchen Floor Mat Non Slip Mat Toilet Floor Mat 30*30cm,1.20,80k+,My Cat,5%,RM0.06,https://shopee.com.my/product/479413035/26404762242,https://s.shopee.com.my/qivLVsXbT
53215856787,"✨100PCS Soft Towel Kids Hair Ties, Damage‑Free Elastic Rubber Bands, Hair Accessories for Little Girls",1.50,26,Penjoy,6%,RM0.09,https://shopee.com.my/product/1420925287/53215856787,https://s.shopee.com.my/1gI2L2pMue
17558108554,𝗣𝗢𝗥𝗧𝗔𝗕𝗟𝗘 6 in 1 Cartoon Pattern Kids Party Bag With Stationery Set HB Pencil Ruler Eraser Sharpener Goodies Bag,0.55,70k+,Phone Shop Dot My ( PSM ),4%,RM0.02,https://shopee.com.my/product/56450643/17558108554,https://s.shopee.com.my/1qbSXLojZh
25007547150,⚠Custom Cut⚠  Laser Cut | Acrylic Sheet | Perspex | Acrylic Board | Transparent Clear Plastic Sheet,1.00,600k+,Go Green Acrylic,6%,RM0.06,https://shopee.com.my/product/1161316960/25007547150,https://s.shopee.com.my/1LfBwQqdac
4472791173,(1 PAIR / PASANG) Stokin Sekolah Hitam Murah | Plain Black School Socks Quarter Length,1.10,500k+,The E Brand (TEB),4%,RM0.04,https://shopee.com.my/product/42300802/4472791173,https://s.shopee.com.my/1Vyc8jq0Ff
26162011609,32CM/34CM Non Stick Pan Composite Diamond Coating High Quality Non Stick Kitchen Iron Frying Pan,14.49,30k+,GLIME,4%,RM0.58,https://shopee.com.my/product/697587899/26162011609,https://s.shopee.com.my/2LXj8GmpYq
8481349002,Water proof sticker 50pcs minimum\ sticker label Custom Design\  Custom Design Custom Shape order,0.15,200k+,Ramo Studio,10%,RM0.02,https://shopee.com.my/product/268618152/8481349002,https://s.shopee.com.my/2Vr9KZmCDt
27650670732,[1-40Colors] 100pcs 7-8mm (Size Tebal/Gebu) Colorful Chenille Stems Wire/Flower Wire Craft/Kawat Bulu/DIY Kraftangan Art,2.79,200k+,Charlene Store,6%,RM0.17,https://shopee.com.my/product/122184496/27650670732,https://s.shopee.com.my/20usjeo6Eo
15425000989,Custom Button Badge Keychain Mirror Printed Personal Keychain with Mirror  Gift Keychain Mirror DIY Keychain Mirror,0.99,100k+,BudgetHouse,6%,RM0.06,https://shopee.com.my/product/82177577/15425000989,https://s.shopee.com.my/2BEIvxnStr
28302894662,CaloriesO Fresh Bagel | Halal Bagel | Zero Sugar | Oil Free | Freshly Made | Bagel,2.89,100k+,Calories O,6%,RM0.17,https://shopee.com.my/product/1151608677/28302894662,https://s.shopee.com.my/8AVW4zQcj2
12382414725,26 Design Alas Meja Murid Kelas Sekolah Hiasan Student Table Cloth Pelapik Meja Kelas Keceriaan 2026 PVC,2.74,700k+,Print It On9,7%,RM0.19,https://shopee.com.my/product/606328110/12382414725,https://s.shopee.com.my/80C5sgRG41
5776642436,"Sticker custom \ MIRRORKOTE custom sticker\ Custom Design shape sticker Printing for Product, Custom shape",0.11,1m+,Ramo Studio,10%,RM0.01,https://shopee.com.my/product/268618152/5776642436,https://s.shopee.com.my/8V8MTbPM38
9215381839,"Printing Service | A4 Black & White Double Sided Paper | Print | Photocopy | Fotostat | Book, Note",0.10,5m+,Mr.Cetak - Print & Photostat,10%,RM0.01,https://shopee.com.my/product/378304235/9215381839,https://s.shopee.com.my/8KowHIPzO7
11948521719,Hand Flag Malaysia Hand Flag / Bendera Tangan Malaysia Flag / Bendera Malaysia Kecil / Bendera Merdeka 国旗,0.28,200k+,Wawasan Office & Student Station,4%,RM0.01,https://shopee.com.my/product/352365620/11948521719,https://s.shopee.com.my/8plCsDO5NE
24184227282,加厚墙纸 30x60cm Marble Wall Tile Paper Kitchen Wall Sticker Wall Paper Bathroom Wallpaper Waterproof Tile Sticker Wallpaper,0.78,100k+,LOOK NOW,4%,RM0.03,https://shopee.com.my/product/1159565903/24184227282,https://s.shopee.com.my/8fRmfuOiiD
28359477495,120 Speeds Portable mini kipas with Display USB Rechargeable Handheld Fan Cooler in Summer 手持小风扇,9.99,5k+,WOLIVING,6%,RM0.60,https://shopee.com.my/product/724625006/28359477495,https://s.shopee.com.my/9AO3GpMohK
24572551275,Spa Disposable Slippers Toe Towelling Hotel Guest Travel Unisex Shoe Selipar Pakai Tuala Kaki Kasut Uniseks Perjalanan,0.63,100k+,TD SUPPLY CHAIN SDN. BHD.,5%,RM0.03,https://shopee.com.my/product/164105647/24572551275,https://s.shopee.com.my/904d4WNS2J
23318707250,STABILO/JIMAT STATIONERY VALUE PACK Ready Pack | Stationery Set | Value Pack | Birthday Gift Set Kids | Goodies Kids Set,0.95,500k+,Kuan Yan Art & Stationery ,4%,RM0.04,https://shopee.com.my/product/160687430/23318707250,https://s.shopee.com.my/9V0tfRLY1Q
