Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
15298884705,Transparent PET Juice Bottle with Aluminum Cap | Plastik Botol untuk Jus Kopi Bubble Tea | 30ml 50ml 100ml,0.29,100k+,Green Berry,4%,RM0.01,https://shopee.com.my/product/319768809/15298884705,https://s.shopee.com.my/7AcytLH7vq
24760389437,Cartoon pencil sharpener pencil sharpener creative labor-saving single-hole pencil sharpener hand-cranked pencil,3.42,26,Spaceshop123,6%,RM0.21,https://shopee.com.my/product/24712845/24760389437,https://s.shopee.com.my/70JYh2HlGp
5064623079,Malaysia Flag Bendera Malaysia Merdeka 2x4ft 3x6ft 2x8ft Nylon Polyester Jalur Gemilang Bendera Negeri,1.39,100k+,AzZon888,4%,RM0.06,https://shopee.com.my/product/107050481/5064623079,https://s.shopee.com.my/6AkRhVKvxg
7258636656,Nekko Premium Cat Pouch Wet Food 70g Real Meat High Protein Healthy Meal [Ready Stock],2.88,200k+,EasyMEOW Wholesale Pet Product,4%,RM0.12,https://shopee.com.my/product/169069555/7258636656,https://s.shopee.com.my/60R1VCLZIf
6457474819,"(0.05sen/Page) A4 BLACK & WHITE, DOUBLE SIDED Printing service | Photocopy | Ebook | Notes | Examspaper | Booklet",0.10,1m+,UCS Stationery,6%,RM0.01,https://shopee.com.my/product/13248331/6457474819,https://s.shopee.com.my/6VNI67JfHm
51052860700,Clear Plastic Graduated Measuring Cup 15/20/30/50/100ml DIY Home Measuring Cup Liquid Container,0.25,20k+,taimusigarden.my,7%,RM0.02,https://shopee.com.my/product/453141143/51052860700,https://s.shopee.com.my/6L3rtoKIcl
29159979247,[ONLINE]Google Form Respondent | Google Form | Respondend collect service,0.10,500k+,JomSolusi,6%,RM0.01,https://shopee.com.my/product/189256479/29159979247,https://s.shopee.com.my/5VUkuHNTJc
22544876922,Custom keychain acrylic Transparent custom printed Shaker keychain standee【鑰匙扣定制】【客制化立牌】keychains,0.99,200k+,2Dfun.my,4%,RM0.04,https://shopee.com.my/product/1008594981/22544876922,https://s.shopee.com.my/5LBKhyO6eb
18285371640,350 500 king Thermal Sticker A6 Paper Roll Fold Stack Airway Bill Sticker Thermal Label AWB Consignment Note 订单打印纸 TS01,7.90,200k+,CUBE PACK,6%,RM0.47,https://shopee.com.my/product/1097312174/18285371640,https://s.shopee.com.my/5q7bItMCdi
9550561356,Hundredplast Fabric Plaster 20s/100s,2.73,3k+,Super Star Official Store,4%,RM0.11,https://shopee.com.my/product/233184261/9550561356,https://s.shopee.com.my/5foB6aMpyh
19947160729,Over 1200mm (4ft) Plywood Papan 2.5mm 5mm 9mm 12mm 15mm 18mm Custom cut (CUT TO SIZE),0.98,40k+,Hudson Wood Works (Official),4%,RM0.04,https://shopee.com.my/product/85530406/19947160729,https://s.shopee.com.my/AAGaSr5hqa
24698401346,Netflix Premium Account 4K UHD - 🌟 Premium Streaming Account | 30-Day Access 4K Streaming Access Full Warranty software🌟,5.90,0,mydigital757,16%,RM0.94,https://shopee.com.my/product/1770047731/24698401346,https://s.shopee.com.my/9zxAGY6LBZ
12164789175,Coreless Thermal Receipt Paper 57mm x 40mm/57mm x 50mm/Thermal Receipt Roll/Thermal Paper Roll/Kertas Resit/收银纸/小票纸,0.47,800k+,Technifly Business Solution,6%,RM0.03,https://shopee.com.my/product/283020324/12164789175,https://s.shopee.com.my/AUtQrT4RAg
18224054766,"TBF Floral Love Printed Thank You Paper Bag 💪Thick Material, Goodies Bag, Doogift Bag, Wedding Bag, Beg Goodies Kahwin",0.55,300k+,TBF The_Box_Factory,4%,RM0.02,https://shopee.com.my/product/344284946/18224054766,https://s.shopee.com.my/AKa0fA54Vf
4435951441,Minyak Angin Cap Kapak 3ml / No 6,3.90,256,Umex Marketing,6%,RM0.23,https://shopee.com.my/product/45721920/4435951441,https://s.shopee.com.my/9V0tfd8FCW
18338757381,《 𝗡𝗢𝗡 𝗦𝗟𝗜𝗣 》14cm / 17cm Mini Hanger Shawl Scarf Tie Belt Wardrobe Penyangkut Baju Tudung 围巾衣架 NWD,0.20,400k+,NWD - New World Depot,4%,RM0.01,https://shopee.com.my/product/7727453/18338757381,https://s.shopee.com.my/9KhTTK8sXV
5708816395,【Local】50Pcs Cute Keychain Freegift Keychain Cartoon Lanyard Keychain Murah Cheap Party Gift Door Gift Keyfob Key Ring,0.10,1m+,Lex Enterprise,4%,RM0.00,https://shopee.com.my/product/26169097/5708816395,https://s.shopee.com.my/9pdk4F6yWc
20778545884,EZPET🐱【Cat Treats Series】Vitamin Stick Cat Snack Cat food Wet Food Makanan Kucing Jajan Kucing Makanan Basah Kucing  猫条,0.28,200k+,Ezpet Official Store,4%,RM0.01,https://shopee.com.my/product/793956335/20778545884,https://s.shopee.com.my/9fKJrw7brb
20090782876,Momoyocraft Premium Plastic Cup With Lid PET Disposable Plastic Milk Tea Boba Takeaway Cup 500ml 700ml Straw 塑料杯 1pcs,0.26,600k+,MomoyoCraft,4%,RM0.01,https://shopee.com.my/product/217420500/20090782876,https://s.shopee.com.my/8plCsPAmYS
26133926722,Set Alat Kepang & Ikat Rambut✨Hair Braiding Tool Set Easy Pull Hair PinTying Set Lazy Bun Updo Maker,1.09,614,JH Home Living,4%,RM0.04,https://shopee.com.my/product/204495563/26133926722,https://s.shopee.com.my/8fRmg6BPtR
