Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27401678510,Merdeka Boy’s /Girl's (Como Crape premium),9.45,50k+,Leven Texm,15%,RM1.42,https://shopee.com.my/product/1198788949/27401678510,https://s.shopee.com.my/8KowIEhjpi
9305935179,Sambal Nyet Berapi by Khairulaming,13.99,3m+,Khairulaming Brand,1%,RM0.14,https://shopee.com.my/product/364740282/9305935179,https://s.shopee.com.my/8V8MUXh6Ul
11929587897,DHERBS SET JIMAT AURA SERI COMBO 2,20.00,100k+,PAPA TERLAJAK LARIS,13%,RM2.60,https://shopee.com.my/product/292371459/11929587897,https://s.shopee.com.my/8fRmgqgT9o
29906418961,Kek Coklat Moist Leleh (BakeByNana) SEMENANJUNG SAHAJA,6.00,10k+,BakeByNana,11%,RM0.66,https://shopee.com.my/product/9227212/29906418961,https://s.shopee.com.my/8plCt9fpor
24190029774,Sambal Garing Kruk Kruk Ateen (240g) by Ateen Kitchen,8.92,30k+,Sambal Garing Kruk Kruk Ateen HQ,8%,RM0.71,https://shopee.com.my/product/1440017523/24190029774,https://s.shopee.com.my/904d5SfCTu
44754383523,Chocojar Monster Besar Gedabak 1200ml 440 gram Kokojar Balang Cereal Coklat Gelap Chocojar Premium Choco jar,15.90,8k+,N.A Chocojar,6%,RM0.95,https://shopee.com.my/product/32988111/44754383523,https://s.shopee.com.my/9AO3HleZ8x
26651674046,Merdeka Boy’s /Girl's (Como Crape premium),9.45,7k+,Leven  Tex,15%,RM1.42,https://shopee.com.my/product/1242192639/26651674046,https://s.shopee.com.my/9KhTU4dvo0
24909111872,SwissThomas Capsule Food Chopper 900ML Blender Cutter Spin Grinder Mixer Mincer Masher Juicer Food Processor Choper,25.28,60k+,Swiss Thomas,5%,RM1.26,https://shopee.com.my/product/366421965/24909111872,https://s.shopee.com.my/9V0tgNdIT3
27872309197,Sambal Garing Kruk Kruk Ateen (100g) by Ateen Kitchen,4.96,100k+,Sambal Garing Kruk Kruk Ateen HQ,8%,RM0.40,https://shopee.com.my/product/1440017523/27872309197,https://s.shopee.com.my/9fKJsgcf86
27072973783,DHERBS SET COMBO MANDIAN AROMATERAPI COMBO 4,80.00,60k+,PAPA TERLAJAK LARIS,13%,RM10.40,https://shopee.com.my/product/292371459/27072973783,https://s.shopee.com.my/9pdk4zc1n9
26401678510,Merdeka Boy's /Girl's (Como Crape premium),10.50,5k+,Leven Texm,15%,RM1.58,https://shopee.com.my/product/1198788949/26401678510,https://s.shopee.com.my/9zxAHIbOSC
58156709500,DUBAI CHEWY COOKIE CHEWY MOCHI KUNAFA DUBAI 50G By choconafa puandhia,7.99,40k+,Choconafa By Puandhia,11%,RM0.88,https://shopee.com.my/product/84549501/58156709500,https://s.shopee.com.my/AAGaTbal7F
25363171499,Dendeng Nyet Berapi by Khairulaming,15.00,600k+,Khairulaming Brand,1%,RM0.15,https://shopee.com.my/product/364740282/25363171499,https://s.shopee.com.my/AKa0fua7mI
24825789056,Jeruk Buah AIR NISE/GULA MELAKA PIOR [600g++] By Mama Mai,8.90,20k+,Maizakmaa,14%,RM1.25,https://shopee.com.my/product/120012864/24825789056,https://s.shopee.com.my/AUtQsDZURL
22233868763,"[50pcs or 100pcs/box] THE GLOF Black Nitrile Disposable Glove, Powder Free",5.49,400k+,The GLOF Official Store,1%,RM0.05,https://shopee.com.my/product/869633508/22233868763,https://s.shopee.com.my/5LBKiit9vM
28326917792,HOMEWORTH 5X Lagi Tebal Plastic Beg Sampah Bertali Thick Drawstring Garbage Trash Bag Heavy Duty,13.48,30k+,Homeworth,6%,RM0.81,https://shopee.com.my/product/286756795/28326917792,https://s.shopee.com.my/5VUkv1sWaP
20384021767,Chef Zam NASI GORENG READY TO EAT INSTANT FRIED RICE Halal food Kembara travel,6.50,90k+,CHEF ZAM OFFICIAL SHOP,8%,RM0.52,https://shopee.com.my/product/313304285/20384021767,https://s.shopee.com.my/5foB7KrtFS
24588136866,DESSINI ITALY Auto Ignition Dual Fuel Gas Cooker Butane Propane LPG Hob Burner Cooktop Tabletop Portable Picnic Stove,33.80,30k+,DESSINI Official Store,7%,RM2.37,https://shopee.com.my/product/370480745/24588136866,https://s.shopee.com.my/5q7bJdrFuV
