Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
25105824343,Puting SuSu Baby Soft Teat Wide Neck Pacifier Nipple Baby Nipple Anti-Colic BPA FREE,0.62,600k+,Ladies Secrets,11%,RM0.07,https://shopee.com.my/product/331913071/25105824343,https://s.shopee.com.my/4fvdvgH27T
29370375574,【NO.1】Sea Makeup Stayput Prime & Set Setting Spray Long Lasting Waterproof Oil Control Velvet Matte Finish 100ML,18.60,200k+,Sea Makeup Official Shop,7%,RM1.30,https://shopee.com.my/product/758598591/29370375574,https://s.shopee.com.my/W64y1WtZg
19135377237,【READY STOCK AT MALAYSIA】Korean Women Sleeveless Singlet Inner Crop Top Shirt Turtleneck Camisole female Tight-fitting,7.69,80k+,RCH FASHION,9%,RM0.69,https://shopee.com.my/product/281311818/19135377237,https://s.shopee.com.my/LmeliXWuf
26155880521,Ginvera World Spa English Shower Scrub Lavender & Chamomile (250ml),5.49,10k+,Wipro Consumer Care Malaysia,13%,RM0.71,https://shopee.com.my/product/193297752/26155880521,https://s.shopee.com.my/BTEZPYAFe
53560215935,【👑Brand First 】Magister Contact Lens 1Pair Colored  Contact Lenses Natural  Brown  Contact Lens 6 Monthly 14.0-14.5mm,8.50,10k+,Magister Optics,8%,RM0.68,https://shopee.com.my/product/1467000232/53560215935,https://s.shopee.com.my/19oN6Ynad
55560993219,Motion Wide-Leg Cargo Pants Loose Fit Contrast Stitch & Reflective Lines Seluar Baggy Tracksuit Casual Glow In Dark,17.80,4k+,RCH FASHION,7%,RM1.25,https://shopee.com.my/product/281311818/55560993219,https://s.shopee.com.my/1BLllFUMDs
27207864945,Sticker Pipi Merdeka (BUY 10 FREE 1),1.65,20k+,Atelier Illustration,11%,RM0.18,https://shopee.com.my/product/865683911/27207864945,https://s.shopee.com.my/112LYwUzYr
1601679657,Palmolive Naturals Intensive Moisture (Dry/Coarse Hair) Shampoo & Conditioner 350ml,10.69,90k+,Colgate Official Store,6%,RM0.64,https://shopee.com.my/product/94327525/1601679657,https://s.shopee.com.my/qivMdVctq
53459358233,【Clearance Sale 清货促销】Haidilao Self-Heating Hot Pot/Instant Hotpot Mala Chicken/Tomato Chicken 海底捞自热火锅/自嗨锅/懒人火锅 麻辣鸡肉/番茄鸡肉,8.99,3k+,Haidilao Seasoning 海底捞调味料,7%,RM0.63,https://shopee.com.my/product/1039915798/53459358233,https://s.shopee.com.my/gPVAKWGEp
2117674748,Dutch Lady UHT Milk Full Cream 1L [Exp 06 Jan 2027 & / Later],7.24,60k+,Dutch Lady Official Shop,8%,RM0.58,https://shopee.com.my/product/98567637/2117674748,https://s.shopee.com.my/1qbSYTRos4
24477907686,Rider Mask Ice Fabric Arm Sleeves Mask UV Protection Bandana Scarf Handsock Sarung Lengan Tangan,3.79,50k+,UNICE STORE,7%,RM0.27,https://shopee.com.my/product/420638478/24477907686,https://s.shopee.com.my/1gI2MASSD3
21394692886,ELGINI E16209 Seluar Wanita Potongan Lurus S-XXL | Women’s Straight-Cut Pants,23.90,200k+,ELGINI MALAYSIA,11%,RM2.63,https://shopee.com.my/product/343537397/21394692886,https://s.shopee.com.my/1Vyc9rT5Y2
25320988214,Skyblue Mini Rechargeable Handheld Clip Fan With Portable Table Kipas Hanging Fans For Meja Desktop Strong Wind Foldable,8.91,10k+,skyblue.os,7%,RM0.62,https://shopee.com.my/product/284152949/25320988214,https://s.shopee.com.my/1LfBxYTit1
18590612077,[SPEND RM35 FREE LIP POUCH] @hijau Blooming Matte Lipstick Long Lasting - 10 Shades (3.5g),14.31,30k+,@hijau Official Store,1%,RM0.14,https://shopee.com.my/product/1027151515/18590612077,https://s.shopee.com.my/2Vr9LhPHWG
