Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
10803696454,《 𝗠𝗜𝗖𝗥𝗢𝗙𝗜𝗕𝗘𝗥 》70x140 CM Super Soft Bath Towel Quick Drying Fabric Microfiber Tuala Mandi 浴巾 NWD,1.07,100k+,NWD - New World Depot,4%,RM0.04,https://shopee.com.my/product/7727453/10803696454,https://s.shopee.com.my/904d5hh2y0
26802487886,T Shirt Unisex Adult Cotton 180gsm Baju Kosong Dewasa T恤衣服男,7.85,10k+,AX Fashion Trading,7%,RM0.55,https://shopee.com.my/product/294850637/26802487886,https://s.shopee.com.my/9AO3I0gPd3
4297296729,Plus Size 40-100kg Wide leg plaid long pants women casual pants new Korean style Seluar Panjang Perempuan,6.50,100k+,BeautyLab2020,10%,RM0.65,https://shopee.com.my/product/260751328/4297296729,https://s.shopee.com.my/8fRmh5iJdy
28407794043,《Mega Deal》Plus Size Microfibre Eyelet Jersi Muslimah Jersey Premium Muslimah Baju Wanita,9.99,40k+,Mega Deal,7%,RM0.70,https://shopee.com.my/product/138500883/28407794043,https://s.shopee.com.my/8plCtOhgJ1
27357218218,Pes Char Kuey Teow HERODAPO 60g,3.50,20k+,BQ FOOD ENTERPRISE,11%,RM0.39,https://shopee.com.my/product/64053420/27357218218,https://s.shopee.com.my/8KowITjaJw
24566259513,Kain Batik Viral Corak Baru 2023 Sarung Sarawak Sarong Jawa Kurung Terengganu Songket Indo Kebaya Blouse Borneo Pakaian,3.99,70k+,va4y1ndle7,1%,RM0.04,https://shopee.com.my/product/511856461/24566259513,https://s.shopee.com.my/8V8MUmiwyz
4785748896,6 Sizes 100pcs Clip Trim Kit Car Push Pin Rivet Bumper Door Panel Retainer Assortment Perodua Proton Toyota Honda,3.50,50k+,millionhardware,4%,RM0.14,https://shopee.com.my/product/41530361/4785748896,https://s.shopee.com.my/80C5trkqzu
41931554165,ALIZEY INSTANT SARUNG DAGOO ~ HQ LYCRA PREMIUM FABRIC ~ IRONLESS & STRETCHABLE HIJAB OF MUSLIMAH,18.58,2k+,The Cat Outfit,11%,RM2.04,https://shopee.com.my/product/1156813394/41931554165,https://s.shopee.com.my/8AVW6AkDex
9169758539,Pen Perfume 10ML Tahan Lama (WOMEN) boleh bawa solat,2.49,700k+,Hijab Perfume,6%,RM0.15,https://shopee.com.my/product/362226421/9169758539,https://s.shopee.com.my/7fZFVFm7fs
10012621384,[S - 7XL]TSHIRT DEWASA LELAKI DAN PEREMPUAN BORONG MURAH !!!! 1.50-4.70 PALING CANTIK,3.59,300k+,azman choudry,9%,RM0.32,https://shopee.com.my/product/466010030/10012621384,https://s.shopee.com.my/7psfhYlUKv
