Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
47463890587,"Tudung Sarima Instant Awning Hijab Meterial~Korian Mosscrepe kain Size (S""M""L)",5.59,589,M.R TEXTAIL,12%,RM0.67,https://shopee.com.my/product/971463225/47463890587,https://s.shopee.com.my/4AzNKzputF
21653147954,QAYRAA P1 Jersey Plain Microfiber Long Sleeve Round Neck - Size S-5XL/Black/Maroon/Red/Navy Blue/Dark Grey/Purple/Green,10.89,100k+,Indah Pesona Concept Store,11%,RM1.20,https://shopee.com.my/product/51136298/21653147954,https://s.shopee.com.my/4LInXIpHYI
43057355157,Car wash mop lantai brush cleaning telescopic adjustable handle rod microfiber chenille 180° rotation cuci kereta 拖把洗车,4.39,2k+,Gemini AutoX,13%,RM0.57,https://shopee.com.my/product/1548078579/43057355157,https://s.shopee.com.my/4VcDjboeDL
1374950980,【ShopWithJoy】 Merdeka Malaysia Flag Bundle Flag Bunting Hand Flag Bendera Malaysia 2x4ft Bendera Negeri Bendera 3x6ft,1.46,100k+,ShopWithJoy,1%,RM0.01,https://shopee.com.my/product/8260603/1374950980,https://s.shopee.com.my/4fvdvuo0sO
44509261846,INSTANT SARUNG SYRIA LAYLA ~ HQ MOSSCREPE PREMIUM FABRIC ~ IRONLESS & STRETCHABLE HIJAB OF MUSLIMAH,8.99,10k+,KEDAI 5 RM,4%,RM0.36,https://shopee.com.my/product/1256385257/44509261846,https://s.shopee.com.my/4qF48DnNXR
56913894721,"TBF Sticker, Window Sticker & Magnet Motor & Car Merdeka 2026 | Premium Malaysia State Flag Decorations | 14 Designs",1.75,5k+,TBF The_Box_Factory,4%,RM0.07,https://shopee.com.my/product/344284946/56913894721,https://s.shopee.com.my/50YUKWmkCU
19071566755,KUCHE Double Zipper Reusable Ziplock Pouch Plastic Transparent PE Poly Bags Fresh Food Storage Bag,2.00,60k+,KUCHE Kitchen Tools,11%,RM0.22,https://shopee.com.my/product/521696845/19071566755,https://s.shopee.com.my/5AruWpm6rX
25124050925,ADVO [New Series] Microfiber T-Shirt Men Round Neck T shirt Short Sleeve Baju Lelaki Plain Unisex Quick Dry,7.89,60k+,ADVO ,4%,RM0.32,https://shopee.com.my/product/370142499/25124050925,https://s.shopee.com.my/5VUkvRkqBc
20547729009,QAYRAA P3 Muslimah Jersey Microfiber Jersi Sukan- Size 2XL-7XL/Black/Maroon/Burgundy/Grey/Navy/Green,16.83,100k+,Indah Pesona Concept Store,11%,RM1.85,https://shopee.com.my/product/51136298/20547729009,https://s.shopee.com.my/5LBKj8lTWb
27854390598,ROSHEN Peppinezz Sour Candy (900g) Roshen gula gula keras masam,8.74,90k+,Roshen_malaysia,10%,RM0.87,https://shopee.com.my/product/1057774029/27854390598,https://s.shopee.com.my/5q7bK3jZVi
4444202757,VCR Hand Flag Malaysia Flag Bendera Malaysia (Polyester) Bendera Tangan 23 x 14cm Wholesales Borong Harga Murah,0.22,200k+,VCR Wholesales Hub,4%,RM0.01,https://shopee.com.my/product/129686006/4444202757,https://s.shopee.com.my/5foB7kkCqh
24033229723,ZEKE A0028 Embroidered Logo T-shirt Men Short Sleeve Tops Lelaki Lengan Pendek Baju tshirt,12.50,100k+,ZEKE STORE,11%,RM1.38,https://shopee.com.my/product/726687352/24033229723,https://s.shopee.com.my/6AkRifiIpo
8107550818,BAWAL INSTAN MARYAM BIDANG 45 / TUDUNG SARUNG / BAWAL VIRAL,8.36,20k+,ROSE SCARF,4%,RM0.33,https://shopee.com.my/product/355483211/8107550818,https://s.shopee.com.my/60R1WMiwAn
24014759768,10Pcs Leak Proof Silicone Sealing Ring Faucet Threaded Gasket Anti Aging Rubber Bathtub Stopper Sink Cover Pipe Plug,1.58,60k+,Gbest shop,10%,RM0.16,https://shopee.com.my/product/241911673/24014759768,https://s.shopee.com.my/6VNI7Hh29u
58062366945,"Genuine【Diamond Gold Coating】500ML Salutan cat kereta lilin semburan menggilap pantas, mencerahkan dan melindungi cat k",4.99,1k+,💎Diamond CoatingMalaysia,4%,RM0.20,https://shopee.com.my/product/1278819230/58062366945,https://s.shopee.com.my/6L3ruyhfUt
6836102253,50pcs/100pcs ( Gebu+ )Premium Colourful Chenille Stems Flower Stem Wire For Arts DIY for Craft Kraftangan,1.47,100k+,Charity.Box Stationary & Arts,11%,RM0.16,https://shopee.com.my/product/203019820/6836102253,https://s.shopee.com.my/6q08VtflU0
42860881697,Omos Seluar Wanita Baru Lulus Women Straight Cut Long Pants Pocket Seluar Muslimah Wanita,12.99,8k+,FunFun.inShop,5%,RM0.65,https://shopee.com.my/product/102768125/42860881697,https://s.shopee.com.my/6fgiJagOoz
41956500282,100Pcs Cable Organizer Clips Cable Management Desktop & Workstation Wire Manager Cord Holder TOLUS,1.99,30k+,TOLUS HARDWARE,6%,RM0.12,https://shopee.com.my/product/1544097918/41956500282,https://s.shopee.com.my/7AcyuVeUo6
183677088,NESTLE Milo Activ-Go 200g (Halal),5.39,60k+,Nestlé (Sold by Shopee),1%,RM0.05,https://shopee.com.my/product/13377506/183677088,https://s.shopee.com.my/70JYiCf895
22619632059,Baju Knitwear lengan panjang knitwear long slevee,5.00,10k+,Azibundle.co,1%,RM0.05,https://shopee.com.my/product/81263731/22619632059,https://s.shopee.com.my/7VFpJ7dE8C
