Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27437466437,【yobox mall】Rak dapur rak barang dapur rak besi bertingkat rak dapur keluli tahan karat rak barang dapur kitc,15.98,264,yobox mall,4%,RM0.64,https://shopee.com.my/product/1272369059/27437466437,https://s.shopee.com.my/20uspjYXuD
11245756889,RACKSMORE 2IN1 Rak Dapur Rak Buku Rack Shelf Rak Rak Besi Rack Rak Besi Bertingkat Rak Dapur Storage Rack Shelf Rack,50.00,1k+,Racksmore,10%,RM5.00,https://shopee.com.my/product/463650348/11245756889,https://s.shopee.com.my/2Vr9QeWdtK
10639133835,TIGERACK 2IN1 Rak Dapur Rak Buku Rack Shelf Rak Rak Besi Rack Rak Besi Bertingkat Rak Dapur Storage Rack Shelf Rack,55.00,122,Tigerack,10%,RM5.50,https://shopee.com.my/product/316632625/10639133835,https://s.shopee.com.my/2LXjELXHEJ
6981426895,SUPERACK 2IN1 Rak Dapur Rak Buku Rack Shelf Rak Rak Besi Rack Rak Besi Bertingkat Rak Dapur Storage Rack Shelf Rack,60.00,8k+,Superack Boltless Rack,7%,RM4.20,https://shopee.com.my/product/271158160/6981426895,https://s.shopee.com.my/1VycEoaRvA
11254913268,HYPERMORE 2IN1 Rak Dapur Rak Buku Rack Shelf Rak Rak Besi Rack Rak Besi Bertingkat Rak Dapur Storage Rack Shelf Rack,33.90,2k+,Hypermore Boltless Rack,10%,RM3.39,https://shopee.com.my/product/386734072/11254913268,https://s.shopee.com.my/1LfC2Vb5G9
25627508752,HYPERMORE 2IN1 Rak Dapur Rak Buku Rack Shelf Rak Rak Besi Rack Rak Besi Bertingkat Rak Dapur Storage Rack Shelf Rack,70.00,0,Hypermore Boltless Rack,10%,RM7.00,https://shopee.com.my/product/386734072/25627508752,https://s.shopee.com.my/1qbSdQZBFG
1239287663,🔥HYPERACK ™️ [FAST DELIVERY] 2IN1 Rak Dapur Rak Buku Rack Shelf Rak Besi Rack Rak Besi Bertingkat Rak Dapur Storage Rack,64.80,50k+,HYPERACK™️ Boltless Rack,10%,RM6.48,https://shopee.com.my/product/35328930/1239287663,https://s.shopee.com.my/1gI2R7ZoaF
52407020390,Kitchen Cabinet kitchen Side Cabinet Rak Dapur Rak Besi Bertingkat Sideboard Rackrice cooker rack Microwave Rack rak dapur bertingkat Kabinet Dapur,75.00,1,LI TAI OFFICIAL STORE,4%,RM3.00,https://shopee.com.my/product/399984700/52407020390,https://s.shopee.com.my/qivRaczH6
52502924536,3-Tier White Trolley 4-Tier/ ECONOMIC Kitchen Trolley + Wheels ECOCO 4-Tier Multipurpose Shelf/,21.89,0,serbagunaonline1tg.my,10%,RM2.19,https://shopee.com.my/product/1696727259/52502924536,https://s.shopee.com.my/gPVFHdcc5
55301302434,Combination rack kitchen spice rack multi-purpose kitchen rack aesthetic kitchen spice rack hanging kitchen rack,22.99,0,bengkelkayu01rw.my,10%,RM2.30,https://shopee.com.my/product/1674047946/55301302434,https://s.shopee.com.my/1BLlqCbibC
41227948062,[Delivery Handy Tool] Delivery Cup Holder 16 Compartments Drink Storage Supplies Honeycomb 8 Pieces Package Freely Combined Rak Dapur Rak Pinggan Mangkuk Rak Dapur Bertingkat Rak Dapur Bertutup,31.35,0,Guoqiang 3C,10%,RM3.14,https://shopee.com.my/product/838532790/41227948062,https://s.shopee.com.my/112LdtcLwB
51757012022,Kabinet Dapur Kitchen Cabinet kitchen Side Cabinet Rak Dapur Sideboard Rak Besi Bertingkat Kitchen Storage Rack Microwave Rack rak dapur bertingkat,75.00,2,LI TAI OFFICIAL STORE,1%,RM0.75,https://shopee.com.my/product/399984700/51757012022,https://s.shopee.com.my/BTEeMfWd2
10846081106,[FREE SHIPPING] RACKSMORE Rak Dapur Boltless Rack Shelf Rack Rak Besi Bertingkat Rak Barang Rak Dapur Rak Serbaguna,119.00,4,Racksmore,10%,RM11.90,https://shopee.com.my/product/463650348/10846081106,https://s.shopee.com.my/19oS3g9y1
47354515499,Wenjie _ Ha005 Pot Storage Rack Kitchen Microwave Oven Rak Dapur Bertingkat Rak Pinggan Mangkuk Rak Dapur Bertutup Rak Dapur Murah Simple,35.09,0,Wenjie Home Living,10%,RM3.51,https://shopee.com.my/product/195848208/47354515499,https://s.shopee.com.my/W652yeFx8
11929073125,[FREE SHIPPING] SUPERACK Rak Dapur Boltless Rack Shelf Rack Rak Besi Bertingkat Rak Barang Rak Dapur Rak Serbaguna,119.00,12,Superack Boltless Rack,7%,RM8.33,https://shopee.com.my/product/271158160/11929073125,https://s.shopee.com.my/LmeqfetI7
24426098423,SUPERACK 2IN1 Rak Dapur Rak Buku Rack Shelf Rak Besi Rack Rak Besi Bertingkat Rak Dapur Storage Rack Shelf Rack,33.90,0,Superack Boltless Rack,7%,RM2.37,https://shopee.com.my/product/271158160/24426098423,https://s.shopee.com.my/4qF4CwNlA0
