Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27190210913,Rak Besi Bertingkat Storage Rack Heavy Duty Boltless Rack 4 Tier Kitchen Rack Adjustable Shelf Rak Dapur Serbaguna,141.63,19,MurahYa,4%,RM5.67,https://shopee.com.my/product/139072319/27190210913,https://s.shopee.com.my/19oS99DHG
50650509368,🔥Rak Besi Boltless Rack Adjustable Thickened Heavy Duty Rack Storage Rack Multi-layer Bertingkat Rak Dapur 铁架/置物架,195.40,352,KuKa Home,4%,RM7.82,https://shopee.com.my/product/959808139/50650509368,https://s.shopee.com.my/BTEeS8ZwJ
57963917230,✨COD 🎊Tier Metal Boltless Rack Home kitchen Store Storage Rack Warehouse Rak Besi Serbaguna Bertingkat 铁架/置物架 Value Besi Bertingkat Shelf Dapur Storage Ra,198.00,7,huangqiu.my,9%,RM17.82,https://shopee.com.my/product/1545979762/57963917230,https://s.shopee.com.my/112Ldz5PFU
40303619431,"【FREE SHIPPING】ECONOMY BOLTLESS RACK 4 LEVELS, WAREHOUSE RACK, STORAGE RACK, RAK BESI DAPUR RAK BERTINGKAT STOR, 置物架, 货架",67.53,62,SSAT Boltless Rack,1%,RM0.68,https://shopee.com.my/product/1522070732/40303619431,https://s.shopee.com.my/1BLlqI4luX
44102883355,"【FREE SHIPPING】HEAVY DUTY BOLTLESS RACK 4 LEVELS, WAREHOUSE RACK, STORAGE RACK, RAK BESI DAPUR , RAK BERTINGKAT, 置物架, 货架",63.10,27,SSAT Boltless Rack,1%,RM0.63,https://shopee.com.my/product/1522070732/44102883355,https://s.shopee.com.my/gPVFN6fvS
48557816978,𝐊𝐄𝐍𝐒 Rak Bertingkat Rack Shelf Rak Dapur Almari Murah Kitchen Storage Rack 置物架,3.89,203,KENS.my,4%,RM0.16,https://shopee.com.my/product/1634665334/48557816978,https://s.shopee.com.my/qivRg62aV
28833145292,💥Dapur Rak Besi Adjustable 4/3Tier Metal Boltless Rack Home Kitchen Store Storage Shelf Serbaguna Bertingkat Rak 货架/置物架,175.90,47,-DODO-,1%,RM1.76,https://shopee.com.my/product/468964723/28833145292,https://s.shopee.com.my/4LInc6siUC
46506159772,"[READY STOCK MY] 5-Tier Stainless Steel Rack Rak Bertingkat, Rak Dapur 5 Tingkat Metal Organizer Keluli Tahan Karat",238.85,17,Strong Prosperous,10%,RM23.89,https://shopee.com.my/product/1571449098/46506159772,https://s.shopee.com.my/4VcDoPs59F
6037804723,RHINO STORAGE Heavy Duty Rack Yellow Blue 4 Level Boltless Rack Rak Besi Bertingkat Rak Dapur Kitchen Rack Shelf Shelve,139.00,10k+,Rhino Storage,6%,RM8.34,https://shopee.com.my/product/253937126/6037804723,https://s.shopee.com.my/40fxDUtzAA
44865962379,🌸Rak Dapur Storage Rack With Wheels Side Table Nordic Rack Shelf Household Utility Cart Trolley Rack Rak Bertingkat 推车,27.80,0,SturdyGrace,1%,RM0.28,https://shopee.com.my/product/1634777655/44865962379,https://s.shopee.com.my/4AzNPntLpD
48757509498,🏕️ Adjustable Boltless Rack All Metal Rack Heavy Duty Large Capacity Shelf Rack Rak Besi Bertingkat Rak Dapur 重型货架 仓储货架,170.70,32,Iorenzo,6%,RM10.24,https://shopee.com.my/product/1326806458/48757509498,https://s.shopee.com.my/50YUPKqB8O
28980006148,Rak Besi Bertingkat Heavy Duty Rack Standing Pegboard Metal Rack Adjustable Rack Shelf Rak Dapur Home Store Rack Shelf,75.00,258,ART DECO,1%,RM0.75,https://shopee.com.my/product/559638208/28980006148,https://s.shopee.com.my/5ArubdpXnR
9489885815,[FREE SHIPPING] SUPERACK Boltless Rack Shelf Rack Kitchen Rack Rak Dapur Rak Besi Bertingkat Heavy Duty Rack 架子置物架,82.00,57,Superack Boltless Rack,7%,RM5.74,https://shopee.com.my/product/271158160/9489885815,https://s.shopee.com.my/4fve0irRoM
42753403600,Rak Besi Bertingkat Rak Dapur Serbaguna Kitchen Pot Rack Kitchen Pans Pots Storage Organizer,30.00,107,supershoesvilla.my,4%,RM1.20,https://shopee.com.my/product/1251694870/42753403600,https://s.shopee.com.my/4qF4D1qoTP
44281020832,Metal Boltless Rack Dapur Rak Besi Shelf Storage Kitchen Store Rack Storage Warehouse Bertingkat Rak,37.50,3,WOOHOOW,1%,RM0.38,https://shopee.com.my/product/1628431666/44281020832,https://s.shopee.com.my/30nQ1exnC4
43961920182,HM Heavy Duty Rack Warehouse Boltless Shelves Rak Besi Serbaguna Bertingkat Adjustable Rak Dapur重型货架,175.90,115,Homest,1%,RM1.76,https://shopee.com.my/product/572571445/43961920182,https://s.shopee.com.my/3B6qDxx9r7
