Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
5142673862,RACKZONE Heavy Duty Boltless Rack 4 level Rak Besi Bertingkat Rak Dapur Serbaguna Kitchen Rack Shelf Storage Rack 铁架子,106.33,60k+,Rack-Zone Malaysia,4%,RM4.25,https://shopee.com.my/product/282804171/5142673862,https://s.shopee.com.my/4fve2i3HzF
23746101427,RACKZONE 4 Level Storage Rack Heavy Duty Rack Boltless Rak Besi Bertingkat Rak Dapur Kitchen Rack,117.81,8k+,Rack-Zone Malaysia,4%,RM4.71,https://shopee.com.my/product/282804171/23746101427,https://s.shopee.com.my/5Arudd1NyM
7242194863,RACKZONE Heavy Duty Rack Black 4 Level Boltless Rack Rak Besi Bertingkat Rak Dapur Kitchen Rack Shelf Storage Rack Rak,125.10,50k+,Rack-Zone Malaysia,4%,RM5.00,https://shopee.com.my/product/282804171/7242194863,https://s.shopee.com.my/50YURK21JL
8250841993,RACKZONE 4 Level Storage Rack Boltless Rak Besi Bertingkat Dapur Home Organizer Steel Metal Shelf Kitchen Shelve 架子 货架,88.56,40k+,Rack-Zone Malaysia,4%,RM3.54,https://shopee.com.my/product/282804171/8250841993,https://s.shopee.com.my/4AzNRn5C0C
1239323662,🐘[FREE SHIPPING] HYPERACK™️ Boltless Rack 4 Levels Rak Dapur Shelf Kitchen Rak Besi Bertingkat Heavy Duty Rack 架子置物架,66.95,100k+,HYPERACK™️ Boltless Rack,13%,RM8.70,https://shopee.com.my/product/35328930/1239323662,https://s.shopee.com.my/40fxFU5pLB
53800162527,TAVA 3/4/5Tier Heavy duty full metal shelf （boltless） rack rak besi bertingkat stainless steel rack rak dapur Storage,78.11,6k+,TAVA ,7%,RM5.47,https://shopee.com.my/product/933637277/53800162527,https://s.shopee.com.my/4VcDqP3vKI
18202840844,🐘[FREE SHIPPING] HYPERACK™️ Livin Rack 4 Levels Boltless Rack Rak Besi Bertingkat Rak Dapur Rack Shelf Rack Kitchen Rack,74.60,90k+,HYPERACK™️ Boltless Rack,13%,RM9.70,https://shopee.com.my/product/35328930/18202840844,https://s.shopee.com.my/4LIne64YfH
26627672095,BMZAR 500KG Boltless Rack Dapur Rak Besi Shelf Storage Kitchen Store Rack Storage Warehouse Bertingkat Rak,24.99,5k+,BMZAR MALL.MY,7%,RM1.75,https://shopee.com.my/product/1440797094/26627672095,https://s.shopee.com.my/3VjgeZ7jM8
22566938609,3/6 Tier Metal Boltless Rack Home kitchen Store Storage Rack Warehouse Rak Besi Serbaguna Bertingkat 铁架/置物架 Value Besi Bertingkat Shelf Dapur Storage Buku Kitchen Serbaguna,58.00,30k+,UPSEN.my,5%,RM2.90,https://shopee.com.my/product/953681174/22566938609,https://s.shopee.com.my/3LQGSG8Mh7
21372860601,HM Adjustable Boltless Rack Rak Besi Heavy Duty Rack Metal Shelves Rak Dapur Store&Warehouse Rack,55.90,4k+,Homest,4%,RM2.24,https://shopee.com.my/product/572571445/21372860601,https://s.shopee.com.my/3qMX3B6SgE
2006317767,🐘[FREE SHIPPING] HYPERACK™️ Boltless Rack Black 4 Levels Rak Besi Bertingkat Kitchen Rack Rak Dapur Heavy Duty Rack,70.11,10k+,HYPERACK™️ Boltless Rack,1%,RM0.70,https://shopee.com.my/product/35328930/2006317767,https://s.shopee.com.my/3g36qs761D
1239223910,🐘[FREE SHIPPING] HYPERACK™️ Boltless Rack White 4 Levels Rak Besi Bertingkat Kitchen Rack Rak Dapur Heavy Duty Rack,71.91,60k+,HYPERACK™️ Boltless Rack,10%,RM7.19,https://shopee.com.my/product/35328930/1239223910,https://s.shopee.com.my/2qTzrLAGi4
51757367763,KUULAA Kabinet Penyimpanan Dapur Bertingkat 3/4/5 Tingkat dengan Roda Rak Rempah Mudah Alih Plastik ABS/PP ,6.70,3k+,KUULAA MALL,11%,RM0.74,https://shopee.com.my/product/1774190130/51757367763,https://s.shopee.com.my/2gAZf2Au33
