Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
25746900060,rak besi bertingkat heavy duty untuk letak barang storage rack industrial rack shelf boltless metal rack rak dapur,37.50,169,UUUvvv,1%,RM0.38,https://shopee.com.my/product/1572942413/25746900060,https://s.shopee.com.my/9V0tnc1bQx
43358134609,Adjustable Rak Besi Metal Boltless Rack Home kitchen Warehouse metal shelf rack storage tier metal boltless Serbaguna Bertingkat Dapur besi bertingkat 铁架/置物架,53.91,3k+,KIF.my,8.1%,RM4.37,https://shopee.com.my/product/1295274588/43358134609,https://s.shopee.com.my/AKa0n8yQk8
23346269953,RACKZONE Signature YB 5 Level Boltless Rack Heavy Duty Rak Besi Bertingkat Rak Dapur Kitchen Rack Shelf Storage Rack 铁架子,133.87,385,Rack-Zone Malaysia,4%,RM5.35,https://shopee.com.my/product/282804171/23346269953,https://s.shopee.com.my/AUtQzRxnPB
46156391991,Heavy Duty Rack Metal Rack Bertingkat Rack Shelf Storage Home Kitchen Store Rack 铁架置物架,49.00,92,Upsen-Hot,7%,RM3.43,https://shopee.com.my/product/1585287993/46156391991,https://s.shopee.com.my/9zxAOWzhQ6
1451585577,TTF Rack™ 2 Level Boltless Rack H91-122cm D31-61cm/ Storage Rack Rak Besi Bertingkat Rak Dapur Shelf Rack Kitchen Rack,119.00,726,TTF RACK™ Boltless Rack,5%,RM5.95,https://shopee.com.my/product/69566502/1451585577,https://s.shopee.com.my/AAGaapz459
5090645562,TTF Rack™️Evital Rack /Boltless Rack 4 level Rak Besi Bertingkat Rak Dapur Serbaguna Kitchen Rack Shelf Storage Rack 铁架子,91.00,5k+,TTF RACK™ Boltless Rack,7%,RM6.37,https://shopee.com.my/product/69566502/5090645562,https://s.shopee.com.my/8KowPT62no
41667964167,Ready Stock Rak Bawang Bertingkat 2/3 Tier Fruit Vegetable Basket Detachable Kitchen Storage Organizer,23.73,72,casabellamall.my,7%,RM1.66,https://shopee.com.my/product/1546870834/41667964167,https://s.shopee.com.my/8V8Mbm5PSr
26738945215,2/3/4/5 Layers Simple Foldable Rak Kitchen Rack Oven Shelf besi bertingkat Dapur rak With Rollers 架子,55.90,125,LEKLEK SHOP,1%,RM0.56,https://shopee.com.my/product/1582836128/26738945215,https://s.shopee.com.my/80C60r7JTm
50313553617,Rak Bertingkat Heavy Duty Meja Dapur Kitchen Organizer Cookware Storage Rack 厨房置物架 Freestanding,46.90,21,Aurora.BT-Shop,1%,RM0.47,https://shopee.com.my/product/1514583631/50313553617,https://s.shopee.com.my/8AVWDA6g8p
29144043178,Rak Besi Bertingkat Rak Boltless 5 Tingkat 800KG Load Capacity Dapur Serbaguna Kitchen Duty Rack 铁架置物架,69.00,738,Pet Universe Mall,8%,RM5.52,https://shopee.com.my/product/1645742907/29144043178,https://s.shopee.com.my/904dCh3VS0
8104323630,🐘[FREE SHIPPING] HYPERACK™️ Boltless Rack White 2 Levels Rak Besi Bertingkat Rak Dapur Storage Rack Shelf Kitchen Rack,95.07,3k+,HYPERACK™️ Boltless Rack,10%,RM9.51,https://shopee.com.my/product/35328930/8104323630,https://s.shopee.com.my/9AO3P02s73
52506010455,3/4/5 Tier Boltless Rack Rak Besi Storage Rack Heavy Duty Rack  Rak Dapur Shelf Bertingkat Heavy Duty Rack 架子 置物架,44.60,126,Iorenzo,4%,RM1.78,https://shopee.com.my/product/1326806458/52506010455,https://s.shopee.com.my/8fRmo54m7y
13901924452,TIGERACK [FREE SHIPPING] Boltless Rack White 5 Levels Shelf Rack Storage Rak Dapur Rak Besi Bertingkat Rak Barang 架子,153.00,510,Tigerack,10%,RM15.30,https://shopee.com.my/product/316632625/13901924452,https://s.shopee.com.my/8plD0O48n1
41512802427,TTF Rack™ Boltless Rack 4 Level Plywood/ Heavy Duty Rack Rak Besi Bertingkat Storage Rack Rak Dapur Serbaguna Rack Shelf,137.00,160,TTF RACK™ Boltless Rack,5%,RM6.85,https://shopee.com.my/product/69566502/41512802427,https://s.shopee.com.my/1gI2TDVQKe
55406997968,💥Kilang Direct 💥Heavy Duty Boltless Rack 4 level Rak Besi Bertingkat Rak Dapur Serbaguna Kitchen Shelf Storage 铁架子,255.00,21,kingglobe0.my,10%,RM25.50,https://shopee.com.my/product/1602760376/55406997968,https://s.shopee.com.my/1qbSfWUmzh
43375310659,HM 2/3 Tier Onion Rack Fruit Basket Rak Bawang Bertingkat Kitchen Organizer Vegetable Storage Rack Carbon Steel Basket,19.90,392,Homest,1%,RM0.20,https://shopee.com.my/product/572571445/43375310659,https://s.shopee.com.my/1LfC4bWh0c
