Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
25493826504,4 PACK Tissue Gantung Hanging Tissue Tisu Gantung Viral Murah Tisu Viral Tisu Dapur Gantung Facial Tissue Tisu Muka 紙巾一箱,9.68,14,HOMPROLIFE,6%,RM0.58,https://shopee.com.my/product/119445590/25493826504,https://s.shopee.com.my/7fZFdipZHr
27851476182,"Ipopi Purple Pull-up Tissue Paper (4 Packs, 20 Packs) 70 Sheets Received Standards No Fluorescent Agents, Flexible And Soft.",39.05,1,6vqoy4x1l2a.my,10%,RM3.91,https://shopee.com.my/product/1146881478/27851476182,https://s.shopee.com.my/5VUl3jxogS
24644888318,[x4]Ribbon Tisu Gantung Viral Kertas Tisu Murah Tisu Kusyen Udara Gantung Tisu Tisu Gantung Murah Bunga Tisu Gantung Vir,10.90,35,Family Tissue,6%,RM0.65,https://shopee.com.my/product/1155491058/24644888318,https://s.shopee.com.my/5LBKrQyS1R
45701713822,5 PACK Oren Tissue Gantung Hanging Tissue Tisu Gantung Viral Murah Tisu Viral Tisu Dapur Gantung Facial Tissue Tisu Muka,25.00,214,JF Tissue,1%,RM0.25,https://shopee.com.my/product/51948483/45701713822,https://s.shopee.com.my/5q7bSLwY0Y
52351691293,"1 Pack of Silkwell Cherry Red Apple Silk Tissues 280 sheets, 2 layers, Silkwell premium tissue paper, soft, smooth, super tough, tisu gantung, tissue gantung, tisu gantung murah, tisu gantung viral",8.69,0,bachhoachanhhoagz.my,1%,RM0.09,https://shopee.com.my/product/473187181/52351691293,https://s.shopee.com.my/5foBG2xBLX
25145402556,Tisu Gantung Viral Facial Tissue Paper Tisu Murah Muka Hanging Tissue Gantung Murah Tisu Dapur Gantung XL Tisu Kering,5.33,401,ValueSnap,6%,RM0.32,https://shopee.com.my/product/422263284/25145402556,https://s.shopee.com.my/6AkRqxvHKe
41705954202,Tisu Gantung Viral Tisu Murah Muka Facial Tissue Paper Hanging Tissue Gantung Murah Tisu Dapur Gantung XL Tisu Kering,5.17,1k+,KarlMobel,4%,RM0.21,https://shopee.com.my/product/252419950/41705954202,https://s.shopee.com.my/60R1eevufd
40827827152,Hanging Tissue Paper Tisu Gantung Viral Murah Muka Facial Face Tissue Tisu Dapur Viral Gantung Kitchen Tissue 纸巾悬挂式抽纸,34.99,12,Ichiban Essentials,1%,RM0.35,https://shopee.com.my/product/471259833/40827827152,https://s.shopee.com.my/6VNIFZu0ek
27855840384,"Multipurpose Towel Roll 20cm Long - 40 Sheets, Reusable Kitchen Paper Towels, Type 1, Tisu Gantung Viral, Tisu Dapur, Tisu Gulung Dapur, Tisu Dapur, Kitchen Towel Tissue, Kitchen Towel",4.55,1,chiantoolzf.my,13%,RM0.59,https://shopee.com.my/product/1309923714/27855840384,https://s.shopee.com.my/6L3s3Gudzj
55965189498,【6 Packs】Manhua Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 156*170mm 1920 Pulls,29.00,1,Manhua tissue store,9%,RM2.61,https://shopee.com.my/product/1152271738/55965189498,https://s.shopee.com.my/9V0tp5iaZM
28074555393,【12 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 2760 Pulls,29.99,60k+,RoyoPanda Official Store,13%,RM3.90,https://shopee.com.my/product/1161499794/28074555393,https://s.shopee.com.my/9KhTcmjDuL
26639577637,【4 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 2760 Pulls,10.68,20k+,RoyoPanda Official Store,13%,RM1.39,https://shopee.com.my/product/1161499794/26639577637,https://s.shopee.com.my/9pdkDhhJtS
28077422992,【12 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 2760 Pulls,29.99,9k+,Royo Panda Global Store,11%,RM3.30,https://shopee.com.my/product/1412315166/28077422992,https://s.shopee.com.my/9fKK1OhxER
27939577825,【4 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 920 Pulls,11.88,2k+,Royo Panda Global Store,11%,RM1.31,https://shopee.com.my/product/1412315166/27939577825,https://s.shopee.com.my/AAGacJg3DY
29473763744,Tisu Gantung Viral Murah Hanging Tissue Paper Kitchen Air Cushion Tissue Tisu Viral Dapur Gantung Murah悬挂式抽纸,9.45,1k+,Ichiban Essentials,9%,RM0.85,https://shopee.com.my/product/471259833/29473763744,https://s.shopee.com.my/9zxAQ0ggYX
41455173549,"10 packs of 300 gram Amesta 3-layer alcohol-free wet wipes, safe for the skin, tisu gantung viral, tisu gantung murah, tisu gantung murah borong tisu murah borong",18.15,0,giadungda88km.my,1%,RM0.18,https://shopee.com.my/product/1567717639/41455173549,https://s.shopee.com.my/AUtR0vemXe
27967921861,[x6] MANHUA Tisu Gantung Viral Murah Tissue Paper Kitchen Hanging Air Cushion Tissue Tisu Viral Dapur Gantung Murah悬挂式抽纸,18.90,213,Ichiban Essentials,9%,RM1.70,https://shopee.com.my/product/471259833/27967921861,https://s.shopee.com.my/AKa0ocfPsd
42728932986,Combo Deals🍁10 Packs Hanging Tissue 4 Ply 800-880 Sheet Tisu Viral Tissue Gantung Tisu Muka Tisu Gantung Viral,54.99,2,~Sweet Home Living~,9%,RM4.95,https://shopee.com.my/product/500306236/42728932986,https://s.shopee.com.my/8AVWEdnfHE
47304519106,Mayflower Smart Universal Tissue 120pcs Tisu Murah Tisu Gantung Viral Tisu Viral Tisu Gantung,12.65,0,JustYou Sundries Store,1%,RM0.13,https://shopee.com.my/product/514773269/47304519106,https://s.shopee.com.my/80C62KoIcD
40906967252,【10 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 130*170mm,35.99,1k+,RoyoPanda Official Store,11%,RM3.96,https://shopee.com.my/product/1161499794/40906967252,https://s.shopee.com.my/8V8MdFmObK
44654560110,"Kuaijieshi Paper Handkerchief 10 Pcs 10 Packs Rabbit Convenience Store, Toilet Paper, Facial Tissue Hanji Shop Tisu Gantung Viral Tissue Paper Tisu Gantung Viral Hanging Tissue",21.89,0,Hangee-Shop Grocery,1%,RM0.22,https://shopee.com.my/product/225173615/44654560110,https://s.shopee.com.my/8KowQwn1wJ
29102890584,Tissue Gantung Hanging Tissue Tisu Gantung Viral Tisu 4 Layer Tisu Dapur Murah Cheerful Tissue,3.50,355,KOALA BEAR MALL,4%,RM0.14,https://shopee.com.my/product/1268162997/29102890584,https://s.shopee.com.my/8plD1rl7vQ
28602544815,Tissue Gantung Hanging Tissue Tisu Gantung Viral Tisu 4 Layer Tisu Dapur Murah Cheerful Tissue,3.55,459,Bearbrickmall,7%,RM0.25,https://shopee.com.my/product/1247625621/28602544815,https://s.shopee.com.my/8fRmpYllGP
26653219960,[x12]MANHUA Tisu Gantung Viral Murah Tissue Paper Kitchen Hanging Air Cushion Tissue Tisu Viral Dapur Gantung Murah悬挂式抽纸,33.70,269,Ichiban Essentials,9%,RM3.03,https://shopee.com.my/product/471259833/26653219960,https://s.shopee.com.my/9AO3QTjrFW
56904405353,"[10 Pcs] ROYO PANDA Hanging Tisu Panda, 10000 Lembar, 4 Ply Facial Tissue, Royo Tissue Gantung Murah, Tisu Dapur Viral, Tebal & Lembut, Soft & Comfortable Paper Towel, Tisu Gantung Murah",102.43,0,ftl597fvrb1.my,1%,RM1.02,https://shopee.com.my/product/1685947455/56904405353,https://s.shopee.com.my/904dEAkUaV
54452309168,"Jumbo 1800-Sheet Hanging Tree care Tissue Paper, Space-Saving Wall Dispenser, Tisu Gantung Viral, Tisu Dapur, Tisu Gulung",76.89,0,luluhomesp02ly.my,10%,RM7.69,https://shopee.com.my/product/1479224811/54452309168,https://s.shopee.com.my/1gI2UhCPT6
47203517249,"Coreless Tata tissue without box in 10 pcs of tissue, soft, smooth, safe price tisu gantung viral tisu murah tisu dapur tissue gantung murah",7.15,0,pedimxxtu.my,10%,RM0.72,https://shopee.com.my/product/1696703163/47203517249,https://s.shopee.com.my/1qbSh0Bm89
56753122689,"Box of 12 Packs of DALI GIA THAN TAI Multi-Purpose Hanging Paper, 4-Layer School Hanging Paper Towels, each bag has 1000 Sheets, 6 Hangers Included Tisu Gantung Viral Tisu Gantung Murah Borong Tisu Dapur Kitchen Tissue",63.69,0,dalihomestroe2fo.my,10%,RM6.37,https://shopee.com.my/product/1505938530/56753122689,https://s.shopee.com.my/1LfC65Dg94
56456565371,"DuduMart Wall-Mounted Tissue Paper Large Size Paper Super Tough,Soft And Smooth Tisu Gantung Viral Tisu Gantung Tisu Dapur Kitchen Tissue",26.29,0,dudumart4ucc.my,10%,RM2.63,https://shopee.com.my/product/1761124332/56456565371,https://s.shopee.com.my/1VycIOD2o7
