Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
47506106227,"Smiley Face SaKaRa Paper, Super Soft, Super Tough, Smooth, No Paper Dust, 100% Pure Wood Pulp Tisu Gantung Viral",28.05,0,giadungdream226897.my,1%,RM0.28,https://shopee.com.my/product/1463581186/47506106227,https://s.shopee.com.my/19oVghwNZ
53904529223,Toilet Paper Jingxin Removable 100pcs Towels Facial Cleaning Wipes Soft Napkins Tisu Tisu Gantung Viral Tisu Murah,69.85,0,Flower Life Wholesale,10%,RM6.99,https://shopee.com.my/product/890264334/53904529223,https://s.shopee.com.my/W656bg2Mg
52401103485,TISSUE REJEC FACIAL TOWEL TISSUE SEE U JOLLY PASEO NICE ALL VARIANTS SUPER !!! Tisu Tisu Gantung Viral 2-Ply 250 Sheets,6.59,0,agensembakoofficial.my,6%,RM0.40,https://shopee.com.my/product/273307535/52401103485,https://s.shopee.com.my/LmeuIgfhf
50113413308,Harga Runtuh 4 Bungkusan Tisu Gantung 1100 Helai Promosi Empat Lapis Mewah Selesa Lembut Kertas Tebal Diskaun Viral ,10.99,0,Rose Tissue,1%,RM0.11,https://shopee.com.my/product/49125683/50113413308,https://s.shopee.com.my/2BEJ5fZgz2
52255760033,SUNBALEE BIG-K Tissue Paper Soft Texture Free Of Fluorescent Agents Portable Wipe The Face The Mouth Clean Tisu Gantung Viral Tisu Murah,32.45,0,sunbalee3q.my,1%,RM0.32,https://shopee.com.my/product/1741106392/52255760033,https://s.shopee.com.my/20ustMaKK1
48405768782,"SUNBALEE 🧻 BIG-A Pop-up Tissue Paper Smooth, Soft, Fine Texture, 1 Pack Contains 10 Packs, One Small Pack Contains 100 Sheets, 4 Layers Thick, Ready To Ship.",32.45,0,sunbalee3q.my,1%,RM0.32,https://shopee.com.my/product/1741106392/48405768782,https://s.shopee.com.my/2Vr9UHYQJ8
47558312212,[10 Packs Per Box] Kuma Hanging Tissue Paper 1000 Sheets: Pack x10 Tisu Gantung Viral,94.49,0,megasupere4.my,1%,RM0.94,https://shopee.com.my/product/1680653246/47558312212,https://s.shopee.com.my/2LXjHyZ3e7
28805422861,5Packs X 1280 Sheets ( 1CTN ) Tisu Gantung Viral Wall Hanging Tissue Facial Tissue Cheerful Hanging Tissue,10.90,61,Rose Tissue,11%,RM1.20,https://shopee.com.my/product/49125683/28805422861,https://s.shopee.com.my/1VycIRcEKy
43878775102,3 Packs 3840 sheets 4Ply Facial Tissue Wall Hanging Tissue Paper Towels Tissues BP Tisu Gantung Viral Tisu Murah,36.85,0,stephenong097cd.my,10%,RM3.69,https://shopee.com.my/product/1327159008/43878775102,https://s.shopee.com.my/1LfC68crfx
40966381907,"Tissue Paper, 3 Layers Thick, 300 Sheets Pull-out Tissue, Strong And Soft, Facial Tissue Hand Towels White",3.19,0,desoleyqr.my,1%,RM0.03,https://shopee.com.my/product/1619974378/40966381907,https://s.shopee.com.my/1qbSh3axf4
50306561770,Tissue paper soft and gentle Tisu Tisu Gantung Viral Tissue,9.79,0,linglingli1.my,10%,RM0.98,https://shopee.com.my/product/1761150169/50306561770,https://s.shopee.com.my/1gI2Ukbb03
41728810384,AngelaBaby~VINKA Large Capacity Paper Extraction 4 PLY 1500 Sheets Tissue Bathroom Kitchen Tissue Tisu Gantung Viral Tisu Murah,19.69,0,angelababytissuegs.my,6%,RM1.18,https://shopee.com.my/product/1562440413/41728810384,https://s.shopee.com.my/3Vjgg7UcHQ
28355425202,🏠4Pack🏠 4-PLY 1100 Sheets Ribbon Cheerful Wall Hanging Tissue Toilet Paper Tisu Gantung Viral,10.90,69,Rose Tissue,11%,RM1.20,https://shopee.com.my/product/49125683/28355425202,https://s.shopee.com.my/3LQGToVFcP
49655771318,"SUNBALEE 🧻 BIG-J, A Whole Box Tissue Paper, 1 Box Of 30 Cans, Up To 90 Packs, 4 Layers Thick, Portable Tissue Value For Money, Non-luminous",492.25,0,sunbalee3q.my,1%,RM4.92,https://shopee.com.my/product/1741106392/49655771318,https://s.shopee.com.my/3qMX4jTLbW
56856140711,Pack of 12 soft Tissue Paper Packs 300 Super Tough and Beautiful White Sheets Tisu Tisu Gantung Viral,26.29,0,giadungthuytienl5.my,10%,RM2.63,https://shopee.com.my/product/646270128/56856140711,https://s.shopee.com.my/3g36sQTywV
46159694208,"[1 Pack] Hanging Pull-out Tissue GB/T 20808 Deluxe Comfort Tissue Paper, 4 Layers Thick, 1500 Sheets/1000 Sheet",10.45,0,dedepackaginggc.my,10%,RM1.05,https://shopee.com.my/product/1813602952/46159694208,https://s.shopee.com.my/2qTzstX9dM
43727926561,7-11 UNIDESIGN New Soft Toilet Paper 110 Draws Removable Uniform Comfortable Company Manufacturing Tisu Tisu Gantung Viral,11.55,0,gamejima6.my,10%,RM1.16,https://shopee.com.my/product/1516360184/43727926561,https://s.shopee.com.my/2gAZgaXmyL
55710219553,Tissue NICE HANGING towel 400 sheets HANGING Tissue Tisu Gantung Viral,13.75,0,agensembakoofficial.my,6%,RM0.83,https://shopee.com.my/product/273307535/55710219553,https://s.shopee.com.my/3B6qHVVsxS
43913882367,4 Pek Tisu Gantung Viral 1100 Tarikan Kertas Bilik Tidur Empat Lapis Lembut Selesa Diskaun Besar Harga Kilang Premium,11.99,746,Rose Tissue,1%,RM0.12,https://shopee.com.my/product/49125683/43913882367,https://s.shopee.com.my/30nQ5CWWIR
41778677104,Nice Facial Tissue 1000 grams (2000 Sheets) Facial Tissue Tissue Paper Tisu Gantung Viral Tisu Murah,26.95,0,sangirtalaudhertasningwq.my,1%,RM0.27,https://shopee.com.my/product/1097625260/41778677104,https://s.shopee.com.my/4qF4GZPXZo
51405150985,Hanging Tissue CLEAN PLUS | 1350 Strands | 3 Ply | Hanging Facial Tissue Tissue Gantung Viral,14.85,0,shineperdana.my,10%,RM1.49,https://shopee.com.my/product/400935058/51405150985,https://s.shopee.com.my/4fve4GQAun
49355768571,SMALL Pop-Up Tissue Pulled From The Bottom Wall Hanging Type 1400 Sheets Value For Money Easy To Use Non-Luminous Tisu Gantung Viral Tisu Murah,22.55,0,bbboyyim.my,10%,RM2.26,https://shopee.com.my/product/1741098915/49355768571,https://s.shopee.com.my/5ArufBOGtu
48456545360,Tissue paper 20 large packs of 5-layer soft boxed napkins Wrapping tissue paper Safe for skin Economical for the family Towels Tisu murah Tisu gantung viral,53.35,0,qmpurepaperi4.my,10%,RM5.34,https://shopee.com.my/product/1759477127/48456545360,https://s.shopee.com.my/50YUSsOuEt
46954074861,Nice Tissue Nice Living Facial Tissue Extra contents 400+100 strands 2ply Buy 1 Get 1 Tisu Gantung Viral Tisu Murah Borong,12.65,0,maminkopd.my,10%,RM1.27,https://shopee.com.my/product/1696706462/46954074861,https://s.shopee.com.my/4AzNTLS4vk
52313414376,Tisu Gantung Viral 4 Bungkusan 1100 Keping Jualan Murah Empat Lapis Lembut Mewah Kertas Premium Selesa Diskaun Hebat,9.89,0,MITUYA,5%,RM0.49,https://shopee.com.my/product/447618523/52313414376,https://s.shopee.com.my/40fxH2SiGj
50906127785,"Thien Phuc Bear-shaped Wet Tissue Pack 120 Sheets Odorless, Alcohol-Free Tisu Tisu Murah Tisu Gantung Viral",6.59,0,giadungducanhbc.my,1%,RM0.07,https://shopee.com.my/product/1241810448/50906127785,https://s.shopee.com.my/4VcDrxQoFq
48205759973,Labubu Wall Hanging Tissue (1 Pack/3 Packs) Tisu Gantung Viral Fast Delivery,24.09,0,potteshopd9.my,1%,RM0.24,https://shopee.com.my/product/1741099119/48205759973,https://s.shopee.com.my/4LInfeRRap
46806206806,[1 HOOK free]Yasimie Thick Hanging Tissue 3 PLY 1281 Sheets for use at home economical Food tissue with large packaging Tisu Gantung Viral Tisu Murah Kitchen Towel Tissue,11.99,0,yasminetisu010d.my,10%,RM1.20,https://shopee.com.my/product/1749321908/46806206806,https://s.shopee.com.my/6AkRr1KSsC
44501576041,"[Box of 10] SIPIAO Purple Peony Wall-Mounted Tissue Paper, 4-Layer Napkin, Free Hanger, Pack/1000 Sheets Tisu Gantung Viral",22.28,0,giadungda88km.my,1%,RM0.22,https://shopee.com.my/product/1567717639/44501576041,https://s.shopee.com.my/60R1eiL6DB
47755768697,Pack Of 3 Packs Of Labooboo Tissue Paper Popular Cartoon Hanging Wall Convenient To Use Tisu Gantung Viral Tisu Murah,24.09,0,potteshopd9.my,1%,RM0.24,https://shopee.com.my/product/1741099119/47755768697,https://s.shopee.com.my/6VNIFdJCCI
57956484684,[10 PACK] Bless You Alavie Tissue 250 Sheets 2 Layers Drawn Each Sheet High Quality Silk Paper With QR Tisu Gantung Viral Tisu Murah,83.05,0,nhatguyensore1003uf.my,10%,RM8.31,https://shopee.com.my/product/1758641974/57956484684,https://s.shopee.com.my/6L3s3KJpXH
27544289413,Tissue 8pack inside violet Facial Tissue 4 Ply Tisu Gantung Viral,58.19,0,alexpanda123ry.my,10%,RM5.82,https://shopee.com.my/product/1761122700/27544289413,https://s.shopee.com.my/5VUl3nN0E8
57353259404,【10 Pek Tisu】Hanging Tissue Tisu Gantung Viral 4 Lapisan 1000 Helai Tisu Air Cushion Kuat Tebal Free 3 Hook 130mm*175mm,43.00,0,LiLin168,9%,RM3.87,https://shopee.com.my/product/986315153/57353259404,https://s.shopee.com.my/5LBKrUNdZ7
54463425006,Tawaran Eksklusif 4 Pek Tisu Gantung Selesa 1100 Tarikan Empat Lapis Kertas Rumah Premium Lembut Diskaun Viral Sempurna,9.89,0,MITUYA,5%,RM0.49,https://shopee.com.my/product/447618523/54463425006,https://s.shopee.com.my/5q7bSPLjYE
28145216366,4 Set Tisu Gantung Viral 1100 Helai Diskaun Hebat Kertas Rumah Mewah Halus Empat Lapis Serap Air Selesa Promosi Terbaik,9.89,0,MITUYA,5%,RM0.49,https://shopee.com.my/product/447618523/28145216366,https://s.shopee.com.my/5foBG6MMtD
