Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
25547895782,Bubuvi [Spring Breeze] Little Superman Travel Bag Toilet Paper Spring Breeze Small Portable Pocket Tisu Tisu Gantung Viral,15.95,0,BUBUVI Houseware flagship,10%,RM1.60,https://shopee.com.my/product/954692694/25547895782,https://s.shopee.com.my/8KowR2oSKD
40328950730,"1500 Sheets/Pack Orange Wall-Mounted Tissue Paper, Large Size Paper - Super Tough, Soft And Smoot Tisu Gantung Viral",37.95,0,ofd8x09vuorz.my,10%,RM3.80,https://shopee.com.my/product/1761150207/40328950730,https://s.shopee.com.my/8AVWEjp5fC
45006537207,"Carton of 10 Packs of Katy Premium Multi-Purpose Wall-Mounted Paper - 4-Layer Soft and Tough Paper, Comes with 4 Convenient Hangers Hanging Tissue Tisu Gantung Viral",33.99,0,1997luxurystore9x.my,1%,RM0.34,https://shopee.com.my/product/1759453007/45006537207,https://s.shopee.com.my/80C62Qpj0B
55702166522,(1 pcs) cassie brown facial soft pack tissue up to 200ply 2ply facial tissue multipurpose tissue tisu gantung viral tisu murah tissue paper,5.39,0,housewaretissuewl.my,10%,RM0.54,https://shopee.com.my/product/1635416419/55702166522,https://s.shopee.com.my/AUtR11gCvg
46354566036,MINO Thick Double-Layer Removable Soft Tissue 300pcs Toilet Paper Facial Restaurant Snack Bar Made In Taiwan Tisu Gantung Viral Tisu Murah,12.65,0,Xiao Bi Shopping,10%,RM1.27,https://shopee.com.my/product/352936845/46354566036,https://s.shopee.com.my/AKa0oigqGf
46304516686,Tisu Gantung Viral Hanging Toilet Paper 1400 Sheets Large Capacity,17.49,0,ssic05018j.my,10%,RM1.75,https://shopee.com.my/product/1191358871/46304516686,https://s.shopee.com.my/AAGacPhTbe
41818020144,【10 Pek Tisu Softy】Pink Softy Tisu Gantung Viral 4 Lapisan 1000 Helai Tisu Air Cushion Kuat Tebal Free 4 Hook 140mm*175m,28.90,42,Softy Tissue Malaysia,6%,RM1.73,https://shopee.com.my/product/1250869183/41818020144,https://s.shopee.com.my/9zxAQ6i6wd
46163136287,[12 pek Tisu Softy] Softy Tissue Gantung Hanging Tissue Viral Facial Tissue Tissue Paper 120*175mm Free 2 Hook 2 Lapisan,32.90,0,Softy Tissue Malaysia,9%,RM2.96,https://shopee.com.my/product/1250869183/46163136287,https://s.shopee.com.my/9pdkDnikHc
44901560999,Panda Tissue 6 Pack FREE Tissue Box Contains 130 Sheets 2Ply GreenSoft | Panda Tissue 6-pack + 1 Box Tisu Gantung Viral Tisu Murah,13.09,0,serbadastore28ri.my,10%,RM1.31,https://shopee.com.my/product/1002320084/44901560999,https://s.shopee.com.my/9fKK1UjNcb
20531244208,Nice Tissue 360 Sheet Facial Tissue Nice Facial Tissue,8.25,0,megagrosirv3.my,1%,RM0.08,https://shopee.com.my/product/538690432/20531244208,https://s.shopee.com.my/9V0tpBk0xa
56550776950,Hanging Wall Tissue M/L Household Hand Paper Air Cushion Toilet Paper tree Tisu Gantung Viral 4-Ply,79.09,0,716crxlfshop.my,10%,RM7.91,https://shopee.com.my/product/1667940358/56550776950,https://s.shopee.com.my/9KhTcskeIZ
56763413358,4 Pek Promosi Tisu Gantung Mewah 1100 Helai Empat Lapis Ekstra Lembut Kertas Tebal Selesa Jualan Hebat Diskaun Viral,10.98,0,ST Simple Tissue,8%,RM0.88,https://shopee.com.my/product/1037656173/56763413358,https://s.shopee.com.my/6VNIFfvR32
26930022990,"Tissue Paper, Hand Towel, Face Towel, Orange Pack Hanging Bag",7.15,0,zrtshopez.my,1%,RM0.07,https://shopee.com.my/product/1044999191/26930022990,https://s.shopee.com.my/6L3s3Mw4O1
58154390479,3 Ply Clean Soft Tissue Paper 100% Native Wood Pulp Soft Silk Skin-Friendly Flexible Paper Tisu Tisu Gantung Viral,10.99,0,highselect8y.my,10%,RM1.10,https://shopee.com.my/product/1082438437/58154390479,https://s.shopee.com.my/6AkRr3whj0
24363691781,5Packs X 1200 Sheets Oren Big Size Tisu Gantung Viral Wall Hanging Tissue Facial Tissue Cheerful Hanging Tissue,9.81,1k+,ST Simple Tissue,6%,RM0.59,https://shopee.com.my/product/1037656173/24363691781,https://s.shopee.com.my/60R1ekxL3z
56461055830,Libang Hanging Facial Tissue 4-Ply 1000 Sheets / Tisu Gantung Dinding Viral 丽邦抽纸,5.50,0,Shayla & Shane,1%,RM0.06,https://shopee.com.my/product/1800530654/56461055830,https://s.shopee.com.my/5q7bSRxyOy
