Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
29378469041,【9 Pek】Carina Tisu Gantung Viral 4Ply 200Pulls 7200s Hanging Cheerful Tissue Gantung Murah Borong 纸巾,9.90,30k+,Carina / Hearttex / Space7 Official Store,12%,RM1.19,https://shopee.com.my/product/896531008/29378469041,https://s.shopee.com.my/9V0tpD1U63
28074555393,【12 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 2760 Pulls,29.99,60k+,RoyoPanda Official Store,13%,RM3.90,https://shopee.com.my/product/1161499794/28074555393,https://s.shopee.com.my/904dEI3O6y
26639577637,【4 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 2760 Pulls,10.68,20k+,RoyoPanda Official Store,13%,RM1.39,https://shopee.com.my/product/1161499794/26639577637,https://s.shopee.com.my/9AO3Qb2km1
56361289088,【4 Pek】Carina Facial Tissue Tisu Gantung Viral 5400s Air-Cushion Hanging 3Ply 200Pulls （120*170mm）纸巾,11.90,2k+,Carina / Hearttex / Space7 Official Store,16%,RM1.90,https://shopee.com.my/product/896531008/56361289088,https://s.shopee.com.my/8fRmpg4emw
29075404549,[20 Pek] Carina Tisu Gantung Viral 4Ply 250Pulls 20000Sheet Soft Air-Cushion Hanging Facial Tissue纸巾,19.90,20k+,Carina / Hearttex / Space7 Official Store,12%,RM2.39,https://shopee.com.my/product/896531008/29075404549,https://s.shopee.com.my/8plD1z41Rz
28077422992,【12 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 2760 Pulls,29.99,9k+,Royo Panda Global Store,11%,RM3.30,https://shopee.com.my/product/1412315166/28077422992,https://s.shopee.com.my/8KowR45vSu
46602591342,【4/8/12Packs】RoyoPanda Hanging Tissue 4-Ply Deluxe Soft Facial Tissue Cheerful Paper Native Wood Pulp Comfortable Tissues 130*170mm 225 Pulls/Pack Tisu Gantung Viral,11.44,4k+,RoyoPanda Official Store,13%,RM1.49,https://shopee.com.my/product/1161499794/46602591342,https://s.shopee.com.my/8V8MdN5I7x
24536437494,【6 Packs】RoyoPanda Baby Monster Hanging Tissue Facial Tissue Tisu Gantung Viral 170*140mm 4-Ply 6288 Sheets Tissues,22.50,20k+,RoyoPanda Official Store,11%,RM2.48,https://shopee.com.my/product/1161499794/24536437494,https://s.shopee.com.my/80C62S7C8s
27939577825,【4 Packs】RoyoPanda Hanging Tissue Tissue Gantung Tisu Gantung Viral Tisu Viral Facial Tissue Paper 120*170mm 920 Pulls,11.88,2k+,Royo Panda Global Store,11%,RM1.31,https://shopee.com.my/product/1412315166/27939577825,https://s.shopee.com.my/8AVWEl6Ynv
53751865537,【6PCS/18PCS】Botare Bow Cute Air-Cushion Household Tissue 4-Ply 7680 Sheets 175*155mm Hanging Tissue tisu gantung viral Thick Deluxe Comfort Tissue,25.60,5k+,Botare Specialty Store,13%,RM3.33,https://shopee.com.my/product/1669828299/53751865537,https://s.shopee.com.my/2LXjI2Sldo
