Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
47265784603,6Pcs Blueguan Hanging Tissue Tisu Gantung Viral Facial Paper 1500 Pulls,78.29,0,shuxin_shop7,1%,RM0.78,https://shopee.com.my/product/1911150378/47265784603,https://s.shopee.com.my/9KhTcwc9tV
51353431552,PACKAGE 4 PACK See-U Economy Hand Towel Red Contents 150 Sheets - 1 Ply Kitchen Tissue/ Kitchen Tissue/ Multifold Hand Towel Tissue/,18.15,3,revkind.my,1%,RM0.18,https://shopee.com.my/product/287921799/51353431552,https://s.shopee.com.my/9pdkDraFsc
29792575938,1Pcs Tissue Facial Tissue Order Tissue Facial Tissue for baby and mothers Tissue Paper Tisu Murah Tisu Gantung Viral,7.15,3,ryanuy6df.my,1%,RM0.07,https://shopee.com.my/product/1078757817/29792575938,https://s.shopee.com.my/9fKK1YatDb
57001380950,"Top Gia Wall-Mounted Multi-Purpose Dry Face Towel Box of 2 Packs of Vietnamese Colors 200 Disposable Retractable Sheets, Safe for Skin Tisu Gantung Viral Tisu Dapur",51.59,0,topgiavietnamtv.my,10%,RM5.16,https://shopee.com.my/product/1673792913/57001380950,https://s.shopee.com.my/8plD21e3uS
49954586486,Mayflower Extremely Soft Top Pocket Tissue Paper 10pcs * 36packs/Set (Packaging Random Shipping) tisu gantung viral tisu murah tisu dapur tissue paper hanging tissue,25.85,0,【Jim Purchase】,1%,RM0.26,https://shopee.com.my/product/746451909/49954586486,https://s.shopee.com.my/8fRmpiehFR
41928047165,Ecoplanet 480 sheetsx8packs Vinka Green Tea Folded Facial Tissue Korea Tissue 3 Ply babywipes 80 tisu gantung viral tisu facial tissue pocket tissue,17.05,0,ecoplanetphnd.my,1%,RM0.17,https://shopee.com.my/product/1078759452/41928047165,https://s.shopee.com.my/9AO3QdcnEY
57001380955,"Top Gia Premium Wall Paper Towels Box of 8 Multi-Colored Packs 1280 Sheets 4 Layers, Natural Pulp Safe for Health Tisu Gantung Viral Tisu Dapur Kitchen Tissue",59.39,0,topgiavietnamtv.my,10%,RM5.94,https://shopee.com.my/product/1673792913/57001380955,https://s.shopee.com.my/904dEKdQZX
45654125296,Big Soft Facial Tissue Paper Pack 4-ply Thick Wall Mounted Tissue Tisu Gantung Viral,21.99,0,halohalo0218vv.my,10%,RM2.20,https://shopee.com.my/product/1713478584/45654125296,https://s.shopee.com.my/8AVWEngbGO
52603398307,"Kuma Tissue 168 Sheets, Pack Of 5, Kuma, Good Absorption Not Sticky",18.15,0,beautyponylt.my,6%,RM1.09,https://shopee.com.my/product/1658545710/52603398307,https://s.shopee.com.my/80C62UhEbN
27943999012,[30 Packs Box Purchase] Made In Taiwan Removable Toilet Paper 100pcs/Pack 30 In A Facial Tissue Soft Towel Native QQ Chipmunk Tisu Gantung Viral Tissue,43.99,0,QQ chipmunk,10%,RM4.40,https://shopee.com.my/product/562452967/27943999012,https://s.shopee.com.my/8V8MdPfKaU
27274927224,BOTARE Tisu Gantung Viral + FREE Hook,8.90,51,BlueShark Shop,1%,RM0.09,https://shopee.com.my/product/10467984/27274927224,https://s.shopee.com.my/8KowR6fxvT
56406521077,"High quality Vietnamese napkin paper, convenient, soft, smooth and absorbent Tisu Tisu Gantung Viral Tisu Dapur Kitchen Tissue",7.15,0,giadungdc24hvq.my,10%,RM0.72,https://shopee.com.my/product/1759455534/56406521077,https://s.shopee.com.my/7VFpRZj8cK
54753249798,"Christmas Pattern Tissue ProudMe Hanging Tissue 300 Pulls, 3 Layers Thick D81",10.89,0,k1tchenhouseln.my,10%,RM1.09,https://shopee.com.my/product/1431714792/54753249798,https://s.shopee.com.my/7KwPFGjlxJ
50456186659,PASEO Tissue 4 pcs 540 sheets Tissue Paper Tisu Gantung Viral,24.09,0,inggihpunbdjwd.my,10%,RM2.41,https://shopee.com.my/product/1749281275/50456186659,https://s.shopee.com.my/7psfqBhrwQ
46154587887,VIKI [Chunfeng] Little Superman Travel Bag Toilet Paper 60pcs 3pcs 1 Set Removable Lightweight Portable Small Carrying Made In Taiwan Tisu Gantung Viral Tissue,16.39,0,viki88mall1a.my,10%,RM1.64,https://shopee.com.my/product/954692763/46154587887,https://s.shopee.com.my/7fZFdsiVHP
28983030861,[4 unit/ 8 unit] Tarik-Tarik Hanging Tissue 4PLY 1000 Sheets Per Pack | Tisu Gantung Viral,30.00,0,MTM Online,6%,RM1.80,https://shopee.com.my/product/1510723936/28983030861,https://s.shopee.com.my/6q08eLlfyG
45556494527,"Sheets Wall-Mounted Tissue Paper, Large Size Paper - Super Tough, Soft And Smooth Tisu Gantung Viral Tisu Murah",22.55,0,yuantop96in.my,1%,RM0.23,https://shopee.com.my/product/1759398975/45556494527,https://s.shopee.com.my/6fgiS2mJJF
40257434130,Kitchen Towel Hanging Removable Paper Oil Absorbent Lazy Disposable Dish Wet Dry Dual-Use Taotao House Tisu Gantung Viral Tisu Dapur Kitchen Tissue,13.75,1,LORCOO,1%,RM0.14,https://shopee.com.my/product/720430116/40257434130,https://s.shopee.com.my/7Acz2xkPIM
51454529465,TS-Flower Bird 0004-Decoupage napkins/art paper Decoupage tissue paper tisu gantung viral tisu dapur,12.65,0,Rutis,10%,RM1.27,https://shopee.com.my/product/764396904/51454529465,https://s.shopee.com.my/70JYqel2dL
50456186720,TITI TISSUE 180 SHEETS FACIAL TISSUE BABY TISSUE FRAGRANT TISSUE TISU MUKA TISU GANTUNG VIRAL,19.69,0,inggihpunbdjwd.my,10%,RM1.97,https://shopee.com.my/product/1749281275/50456186720,https://s.shopee.com.my/6AkRr7oDKC
50253816756,TITI TISSUE 260 SHEETS 1 PCS PACKAGEbiru Tisu Tisu Gantung Viral Tisu Dapur,4.95,0,gudangtissuepagelarangx5.my,10%,RM0.50,https://shopee.com.my/product/1361822259/50253816756,https://s.shopee.com.my/60R1eooqfB
49805088596,NICE TISSUE 360 SHEETS PACK OF 6 PCS Tisu Murah Tisu Gantung Viral,22.55,0,titasoftgudtishr.my,10%,RM2.26,https://shopee.com.my/product/1040633843/49805088596,https://s.shopee.com.my/6VNIFjmweI
49604549209,TS-Fairy Tale 0015-Decoupage napkins/art paper Decoupage tisu gantung viral tissue paper tisu gantung tisu,12.65,0,Rutis,10%,RM1.27,https://shopee.com.my/product/764396904/49604549209,https://s.shopee.com.my/6L3s3QnZzH
