Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
44351842752,[1 Pack] [880 Sheets] Hanging Tissue Viral | Wall Mounted Tisu Gantung | Soft Facial Tissue 1CTN Ready Stock,4.50,0,Tissue 105,1%,RM0.05,https://shopee.com.my/product/1207590704/44351842752,https://s.shopee.com.my/1LfC6G1oIh
42278780247,9 Packs 11520 Sheets 4 Ply Jumbo Paper Towels Facial Tissues Wall-Mounted Tissue CO Tisu Gantung Viral Tisu Murah,92.95,0,5hwjfz2ibu1z.my,10%,RM9.30,https://shopee.com.my/product/1327159868/42278780247,https://s.shopee.com.my/1BLltx2Rdg
56856186745,"[1 pack][1 HOOK free] Yasmine tissue facial tissue, Hanging tissue facial tissue, 1281 sheets 3 ply Tisu Gantung Viral",11.99,0,tokoresmiyasminetisuuk.my,10%,RM1.20,https://shopee.com.my/product/1749279165/56856186745,https://s.shopee.com.my/112Lhe34yf
54001211282,"Paseo Tissue, dry Tissue, facial Tissue 540 sheets Tisu Gantung Viral Tisu Muka",8.69,0,candrakidsq1.my,10%,RM0.87,https://shopee.com.my/product/1531018612/54001211282,https://s.shopee.com.my/qivVL3iJe
51656488500,"[NEW BLUE PACKAGING] Mool Wet Tissues 120 Sheets Unscented for Babies Safe, Super Economical Tisu Tisu Gantung Viral",37.29,0,babymommyhoneypc.my,10%,RM3.73,https://shopee.com.my/product/1758614253/51656488500,https://s.shopee.com.my/gPVJ24Led
49306196932,"[2 packs][2 freeHOOK] Yasmine tissue facial tissue, Hanging tissue facial tissue, 1281 sheets 3 ply Tisu Gantung Viral Tisu Murah",20.79,0,yasminetokoresmimerek3c.my,10%,RM2.08,https://shopee.com.my/product/1749322015/49306196932,https://s.shopee.com.my/W656j4yzc
27373294223,"Tissue cover, tissue cover, tissue cover, tissue box, tissue container",10.45,2,wilispuspazuhara.my,1%,RM0.10,https://shopee.com.my/product/362134245/27373294223,https://s.shopee.com.my/LmeuQ5cKb
26470971106,(6 PACKS) LUX DINO TISSUE DINOSAUR Tissues popi Air Cushion Hanging tissue Tisu gantung viral tissue kitchen tisu 恐龙纸巾,4.12,34,H&C WHOLESALE MALL,5%,RM0.21,https://shopee.com.my/product/9626072/26470971106,https://s.shopee.com.my/BTEi76Ffa
52203993914,Tissue See u Handtowel Red 150sheet,7.15,0,selenereselleric.my,10%,RM0.72,https://shopee.com.my/product/768244917/52203993914,https://s.shopee.com.my/19oVo6t0Z
52054548615,Qingqing Taiwan Shipment Capybara Handkerchief Paper Portable Towel Cartoon Tissue Bag Dog Toilet Tisu Tisu Murah Tisu Gantung Viral,7.59,0,jenny890828te.my,10%,RM0.76,https://shopee.com.my/product/1516361433/52054548615,https://s.shopee.com.my/5ArufInDWa
51456525917,[1 LOT OF 10 PACK] HOANG LONG TISSUES 280 SHEETS TISSUE TISU TISSUE PAPER TISU GANTUNG VIRAL,21.45,0,hieptran260568fo.my,10%,RM2.15,https://shopee.com.my/product/1759454982/51456525917,https://s.shopee.com.my/50YUSznqrZ
49706206837,"[4 pack][4 freeHOOK] Yasmine tissue facial tissue, Hanging tissue facial tissue, 1281 sheets 3 ply Tisu Gantung Viral Tisu Murah",38.49,0,tokoresmiyasminetisuuk.my,10%,RM3.85,https://shopee.com.my/product/1749279165/49706206837,https://s.shopee.com.my/4qF4GgoUCY
49454944678,"Top Gia Napkin Paper, Box of 16/30/60 High Quality 3-Color Drawn Packs, Soft, Good Absorbency, Safe TopgiaStore1 Tisu Gantung Viral Tisu Dapur",81.95,0,topgiastore1yk.my,10%,RM8.20,https://shopee.com.my/product/1729756897/49454944678,https://s.shopee.com.my/4fve4Np7XX
48806167535,5 Ply Facial Tissue Paper | 1120 Pieces | Large Ultra Soft | Premium Natural Care | Hanging Tissue Tisu Gantung Viral,20.79,0,singularsolutionyj.my,10%,RM2.08,https://shopee.com.my/product/1363376061/48806167535,https://s.shopee.com.my/4VcDs4pksW
48704578901,Cowhide Perforated Bag Series 180 Two Bags Folding Corner Portable Ventilated Hole Coating Tisu Gantung Viral Tisu Murah Tisu Dapur Kitchen Tissue,28.49,0,orisdino's Sundries,10%,RM2.85,https://shopee.com.my/product/348876640/48704578901,https://s.shopee.com.my/4LInflqODV
55213965236,[8 pek Tisu Softy] Softy Tissue Gantung Hanging Tissue Viral Facial Tissue Tissue Paper 120*175mm Free 2 Hook 2 Lapisan,21.90,0,DINO TISU MALAYSIA SHOP,9%,RM1.97,https://shopee.com.my/product/1244720150/55213965236,https://s.shopee.com.my/4AzNTSr1YU
56008508691,LARGE PACK Mini Travel Size Baby Wet Wipes Cute Tissue Large Pack = Small Sheet & Pack64 = 8 Sheets Tisu Gantung Viral Tisu Murah,8.79,0,hamster_mania.my,1%,RM0.09,https://shopee.com.my/product/358885611/56008508691,https://s.shopee.com.my/40fxH9retT
50306509669,"Combo of 20 Packs of Type 1 White Hand Wipes, Soft, Absorbent and Outstanding Toughness Tisu Tisu Gantung Viral Tisu Murah",65.45,0,giayxuyenviet1p.my,1%,RM0.65,https://shopee.com.my/product/1759453499/50306509669,https://s.shopee.com.my/3qMX4qsIES
27266451660,"COD 10PCS Toilet Paper Tissue Paper, Facial Tissue Facial Tissue Facial Tissue 1 Pack Contains 220 Sheet",11.99,0,cherryshop66am.my,1%,RM0.12,https://shopee.com.my/product/1387785973/27266451660,https://s.shopee.com.my/3g36sXsvZR
25272241373,【8 Beg】Sempo Cute Tiger Tisu Gantung tisu murah viral tisu gantung cheerful 4-ply 8000 sheets soft comfort tisu doorgift kahwin,99.00,255,Daisy Life,11%,RM10.89,https://shopee.com.my/product/1190839858/25272241373,https://s.shopee.com.my/3VjggEtYuQ
50454929195,"Top Gia Box of 9, 6, 12 Wall-Mounted Paper Towels, Large Size, Convenient, Super Tough, Soft and Smooth Tisu Gantung Viral Tisu Gantung Tisu Dapur Kitchen Tissue",120.89,0,topgiastore1yk.my,10%,RM12.09,https://shopee.com.my/product/1729756897/50454929195,https://s.shopee.com.my/3LQGTvuCFP
45706207508,(5Pax) Nice Tissue 1 Pack contains 5 packs of 360 tissues 180 sheets of Halal 2-Ply Facial Tissue Tisu Gantung Viral,22.99,0,produkngetrensc.my,10%,RM2.30,https://shopee.com.my/product/1749322690/45706207508,https://s.shopee.com.my/3B6qHcupaO
44556199529,"[8 pack][8 HOOK free] Yasmine tissue facial Tissue, Hanging tissue facial tissue, 1281 sheets 3 ply Tisu Gantung Viral Tisu Murah Borong",73.69,0,tokoresmiyasminetisuuk.my,10%,RM7.37,https://shopee.com.my/product/1749279165/44556199529,https://s.shopee.com.my/30nQ5JvSvN
41378754396,[1 HOOK free]Yasimie Thick Hanging Tissue 3 PLY 1281 Sheets for use at home economical Food tissue with large packaging Hanging Tissue Tisu Gantung Viral,11.99,0,yasminetokoresmimerek3c.my,10%,RM1.20,https://shopee.com.my/product/1749322015/41378754396,https://s.shopee.com.my/2qTzt0w6GM
45351721861,【5 Pek Tisu Softy】Softy Tisu Gantung Viral 4 Lapisan 1000 Helai Saiz M (140mm*175mm) Tisu Kuat Tebal Free 2 Hook,15.90,10,DINO TISU MALAYSIA SHOP,4%,RM0.64,https://shopee.com.my/product/1244720150/45351721861,https://s.shopee.com.my/2gAZghwjbL
44551740850,【10 Pek Tisu Softy】Pink Softy Tisu Gantung Viral 4 Lapisan 1000 Helai Tisu Kuat Tebal Free 4 Hook 140mm*175mm,31.90,19,DINO TISU MALAYSIA SHOP,4%,RM1.28,https://shopee.com.my/product/1244720150/44551740850,https://s.shopee.com.my/7psfqCd47M
50106522386,Hanging paper 1280 sheets,84.15,0,hangtangdu2tw.my,1%,RM0.84,https://shopee.com.my/product/1759454201/50106522386,https://s.shopee.com.my/7fZFdtdhSL
50056517670,Wall hanging paper 1280 sheets,31.79,0,hangtangdu2tw.my,1%,RM0.32,https://shopee.com.my/product/1759454201/50056517670,https://s.shopee.com.my/7VFpRaeKnK
43477956015,1 Box Of 5 Bags 1000 Sheets 4 Layers Thick Pull-Out Type Can Be Hung On The Wall Wall-Mounted Tissue Paper Facial Absorbent Soft And Chewy 2220 Tisu Gantung Viral,52.25,0,mickeyland65.my,1%,RM0.52,https://shopee.com.my/product/1387777306/43477956015,https://s.shopee.com.my/7KwPFHey8J
54001254174,"Combo of 5-10 packs of Baby Angela Purple Baby Wet Wipes - Rayon non-woven fabric, Odorless/Mild smell No alcohol, No parabens",83.49,0,duyduyhcmzp.my,10%,RM8.35,https://shopee.com.my/product/1673790300/54001254174,https://s.shopee.com.my/7Acz2yfbTI
56706522022,[COMBO 10 PACK] CORONA RETRACT TISSUES TYPE 500 SHEETS/ 3 LAYERS TISSUE TISU GANTUNG VIRAL,50.59,0,hieptran260568fo.my,10%,RM5.06,https://shopee.com.my/product/1759454982/56706522022,https://s.shopee.com.my/70JYqfgEoH
56052873347,"1 Pack of Corona Paper 500 Sheets 3 Layers of Smooth, Tough Paper Tisu Gantung Viral Tisu Murah Tisu Dapur Kitchen Tissue",8.25,0,suachobeshopdp.my,10%,RM0.83,https://shopee.com.my/product/1068523800/56052873347,https://s.shopee.com.my/6q08eMgs9G
55156517372,[COMBO 4 PACK] CORONA WALL-MOUNTED TISSUES (FREE HOOK) TISSUE TISU TISU GANTUNG VIRAL,47.85,0,hieptran260568fo.my,10%,RM4.79,https://shopee.com.my/product/1759454982/55156517372,https://s.shopee.com.my/6fgiS3hVUF
48406647336,SRY INTER-FOLDED Comfort Tissue Paper 8 Packs in 1 Bag Convenient and Easy to Use Practical Solution Tisu Tisu Gantung Viral,33.55,0,safehomemerchandisefy.my,10%,RM3.36,https://shopee.com.my/product/1623688611/48406647336,https://s.shopee.com.my/6VNIFki8pE
57306479097,"SAKARA napkins are soft, tough, not papery, safe for health, convenient, clean Tissue Paper Tisu Tisu Gantung Viral",54.45,0,fgsjb2l4x6hz.my,1%,RM0.54,https://shopee.com.my/product/1758612671/57306479097,https://s.shopee.com.my/6L3s3RimAD
55604559134,Taiwan 24H Quick Shipping Wall-Mounted Thickened Toilet Paper Hangable Tissue Extra Thick Removable No Fluorescent Agent Kitchen Hanging Tisu Gantung Viral,14.85,0,chichi.c Household Goods,1%,RM0.15,https://shopee.com.my/product/290315809/55604559134,https://s.shopee.com.my/6AkRr8jPVC
45506508882,10 packs of wet wipes Tisu Gantung Viral Tisu Murah,61.60,0,hangtangdu2tw.my,1%,RM0.62,https://shopee.com.my/product/1759454201/45506508882,https://s.shopee.com.my/60R1epk2qB
45301836601,Mild Facial Tissue Paper 1 Pack Contains 150+20 Sheets. Doraemon Collection Thick Soft Not Frayed Tisu Gantung Viral Tissue Paper Facial Tissue Hanging Tissue,36.85,0,siraneesaikaewshopvx.my,10%,RM3.69,https://shopee.com.my/product/1680656084/45301836601,https://s.shopee.com.my/5q7bSWkgBA
25505423127,[READY STOCK] 1 Pack Deluxe Cheerful Soft Facial Tissue Paper Wall Hanging Tisu Viral Murah Berkualiti Tisu Gantung,35.78,2,Syaz_Shop,5%,RM1.79,https://shopee.com.my/product/116362181/25505423127,https://s.shopee.com.my/5foBGDlJW9
26044303374,[COMBO 10 PACK] SIPIAO HOANG LONG DRAWN TISSUE TYPE 300 SHEETS/ 3 LAYERS 198x200mm Tisu Gantung Viral Tisu Murah,64.79,0,hieptran260568fo.my,10%,RM6.48,https://shopee.com.my/product/1759454982/26044303374,https://s.shopee.com.my/5VUl3ulwr8
41478754367,Yasmine Tissue[6pcs] aily Soft Facial Tissue - 6pcs x 360 Sheets 3 Ply Sheets - Facial Tissue - Tissue Tisu Gantung Viral,24.09,0,yasminetokoresmimerek3c.my,10%,RM2.41,https://shopee.com.my/product/1749322015/41478754367,https://s.shopee.com.my/5LBKrbmaC7
45351735713,【5 Pek Tisu Softy】Softy Tisu Gantung Viral 4 Lapisan 1000 Helai Tisu Air Cushion Kuat Tebal Free 2 Hook 140mm*175mm,15.90,92,DINO TISU MALAYSIA SHOP,4%,RM0.64,https://shopee.com.my/product/1244720150/45351735713,https://s.shopee.com.my/AUtR16Sui8
46356205571,"[2 FreeHOOK] Yasmine Tissue HANGING 2 PACK 3 PLY, 1281 SHEETS Wholesale Tissue ELEGAN Tissue Oil Tissue Multipurpose Tissue Car Tissue Facial Tissue Cute Tissue Thick Tissue Household Tissue Tissue Tissue Free SHIPPING",20.79,0,yasminetisuun.my,10%,RM2.08,https://shopee.com.my/product/1749321952/46356205571,https://s.shopee.com.my/AKa0onTY37
52808849467,[5 Pack Bundling Package] ECOSOFT MAX HANGING Tissue 4 Ply 1200 Sheets Ultra Premium HANGING Facial Tissue Soft Thicker Wholesale Tisu Gantung Tisu Gantung Viral,50.59,0,rumahtissur3.my,10%,RM5.06,https://shopee.com.my/product/958220080/52808849467,https://s.shopee.com.my/AAGacUUBO6
45158875346,[2 Pack Bundling Package] ECOSOFT MAX HANGING Tissue 4 Ply 1200 Sheets Ultra Premium HANGING Facial Tissue Soft Thicker Wholesale Tisu Gantung Viral,21.45,0,rumahtissur3.my,10%,RM2.15,https://shopee.com.my/product/958220080/45158875346,https://s.shopee.com.my/9zxAQBUoj5
52654847825,[5 Bags] 4 Layers Thick 1000 Sheets Purple Animal Pattern Hanging Tissue Deluxe Comfort Paper Tisu Gantung Viral Tisu Murah,36.85,0,kodungshopshop78933.my,1%,RM0.37,https://shopee.com.my/product/1387774138/52654847825,https://s.shopee.com.my/9pdkDsVS44
48753252913,"Box of 10 packs of Organic tissue paper with smart, convenient wall-mounted design, super tough and soft Tisu Gantung Viral Tisu Gantung Tisu Dapur Kitchen Towel Tissue",19.69,0,giadungducanh68cr.my,10%,RM1.97,https://shopee.com.my/product/1567717721/48753252913,https://s.shopee.com.my/9fKK1ZW5P3
51804504456,Little Surprise 40pcs Three-Layer Pocket Tissue Paper Carry Bag Printed Tisu Gantung Viral,12.65,0,Surprise Children Store,6%,RM0.76,https://shopee.com.my/product/239080447/51804504456,https://s.shopee.com.my/9V0tpGWik2
51656557237,Tissue Paper Tisu Gantung Viral High Quality Large Pack Of Household Tissues 1200 Pieces/Pack With Hook Hanging Wall,34.65,0,amarahga.my,1%,RM0.35,https://shopee.com.my/product/1761124254/51656557237,https://s.shopee.com.my/9KhTcxXM51
51150686052,"Nice Tissue, soft facial tissue, 360 sheets, 2 ply, tisu gantung viral, tisu gantung, tisu muka",6.05,0,suzzi.craft.my,10%,RM0.61,https://shopee.com.my/product/243115057/51150686052,https://s.shopee.com.my/9AO3QeXzQ0
47356353544,"MyLan apple tissue paper combo 5 packs, apple-shaped tissue paper, super soft, smooth, safe and high quality Tisu Gantung Viral Tisu Murah",24.75,0,xuanthu0112wz.my,10%,RM2.48,https://shopee.com.my/product/1068531020/47356353544,https://s.shopee.com.my/904dELYckz
41982307965,4 Pek Tisu Gantung 1100 Helai Promosi Terhad Empat Lapis Lembut Mewah Selesa Tawaran Hebat Kertas Dinding Viral Menarik,10.99,2,Cuttie Tissue,5%,RM0.55,https://shopee.com.my/product/880587340/41982307965,https://s.shopee.com.my/8plD22ZG5y
46061614107,Tisu gantung viral 132mm x 168mm (5-Ply) Hanging facial tissue,8.09,0,Poh Yin,1%,RM0.08,https://shopee.com.my/product/37565217/46061614107,https://s.shopee.com.my/8fRmpjZtQx
40205186944,"Carton of 10 Bags of SIPIAO Lucky Cat Multi-Purpose Hanging Paper, 4 Layers Each Bag 1100 Sheets, Chinese Domestic Product Tisu Gantung Viral Tisu Murah",32.45,2,giadungducanh68cr.my,10%,RM3.25,https://shopee.com.my/product/1567717721/40205186944,https://s.shopee.com.my/8V8MdQaWlw
41882298318,Diskaun 4 Pek Tisu Gantung 1100 Helai Empat Lapis Mewah Jualan Hebat Kertas Rumah Lembut Selesa Tebal Promo Viral Ekstra,10.99,0,Cuttie Tissue,5%,RM0.55,https://shopee.com.my/product/880587340/41882298318,https://s.shopee.com.my/8KowR7bA6v
46456573339,High-quality large pack of household paper towels tissue 1200 pieces/pack Tisu Dapur Tisu Gantung Viral,27.39,0,alexanderv2.my,1%,RM0.27,https://shopee.com.my/product/1761122608/46456573339,https://s.shopee.com.my/8AVWEobnRu
27306686898,"Tissue Paper, Cellox Purify Line Friend Mini, Net Number, 10 Sheets Portable Tissue Facial Tissue, Hand Towel, Tissue MK",0.99,3,realwoodpcup.my,1%,RM0.01,https://shopee.com.my/product/716862179/27306686898,https://s.shopee.com.my/80C62VcQmt
26940920257,"[Pack] NENO NENO Tiger Hanging Facial Tissue, 1000 Sheets Per Pack, 4 Layers Thick",10.45,0,tissuemartmj.my,1%,RM0.10,https://shopee.com.my/product/1516345633/26940920257,https://s.shopee.com.my/2LXjI5y0Ho
55455609098,2packs /1pack 4-Ply Tissue Paper Toilet & Facial Orange Wall Tissue Tisu Tisu Gantung Viral Tisu Murah,20.90,0,skwarehouseai.my,10%,RM2.09,https://shopee.com.my/product/1225625751/55455609098,https://s.shopee.com.my/2Vr9UOxMwr
45405930335,MOMO Ultra Soft Facial Tissue 360 Sheets 2 Ply Wholesale Tisu Muka Tisu Gantung Viral,5.39,0,rumahtissur3.my,10%,RM0.54,https://shopee.com.my/product/958220080/45405930335,https://s.shopee.com.my/20ustTzGxm
48204883481,FREEBIE ️Free Pocket Tissue Tisu Tisu Gantung Viral,150.59,0,wonderpurrtc.my,6%,RM9.04,https://shopee.com.my/product/1225088992/48204883481,https://s.shopee.com.my/2BEJ5mydcp
57056512984,"TopGia Da Sac retractable wall paper towels, toilet paper, 1280 sheets of 4-layer tissue paper made from super natural wood pulp Tisu Gantung Viral Tisu Murah",18.15,0,caynamvuive123rs.my,1%,RM0.18,https://shopee.com.my/product/1759455027/57056512984,https://s.shopee.com.my/1gI2Us0Xdk
26540299903,Member's Value 2-Ply Bath Tissue 30 rolls Tisu Gulung Dapur Tisu Gantung Viral Tisu Murah,156.75,0,snrofficialp1.my,1%,RM1.57,https://shopee.com.my/product/1078761069/26540299903,https://s.shopee.com.my/1qbShAzuIn
56354924409,Set of 10 Packs of Strawberry Bear Tissues with Super Quality Strawberry Bear Bucket_Bucket Bear Tisu Gantung Viral Tisu Murah,34.65,0,nhanphucvinh254m.my,10%,RM3.47,https://shopee.com.my/product/1729755857/56354924409,https://s.shopee.com.my/1LfC6G1oJi
50913413218,Jualan Runtuh 4 Bungkusan Tisu Gantung Viral 1100 Keping Diskaun Hebat Kertas Premium Lembut Empat Lapis Mewah Rumah,10.99,0,Cuttie Tissue,5%,RM0.55,https://shopee.com.my/product/880587340/50913413218,https://s.shopee.com.my/1VycIZ1Ayl
46101245772,8 Packs Interfolded Facial Tissue 300 Sheets per Pack Soft Disposable Cleaning & Tisu Gantung Viral Tisu Dapur Kitchen Tissue Kitchen Towel Tissue,35.75,0,sulitexpressphac.my,1%,RM0.36,https://shopee.com.my/product/1118342657/46101245772,https://s.shopee.com.my/112Lhe34zg
